Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1957,23,PHI,qb,9,10,4,3-1-0,33,70,47.1,470,5,7.1,8,11.4,61,6.7,3,14.2,47,53.6,,,,,,,,,
1958,24,PHI,qb,9,12,0,,12,22,54.5,259,0,0,1,4.5,61,11.8,9.7,21.6,21.6,77.7,,,,,,,,,
1959,25,PHI,qb,9,12,0,,3,5,60,27,1,20,0,0,19,5.4,9.4,9,2.3,114.2,,,,,,,,,
1960,26,PHI,qb,9,12,0,,24,44,54.5,486,5,11.4,1,2.3,71,11,12.3,20.3,40.5,122,,,,,,,,2,
1961*+,27,PHI,QB,9,14,14,10-4-0,235,416,56.5,3723,32,7.7,24,5.8,69,8.9,7.9,15.8,265.9,88.1,,,,,,3,3,16,UPI MVP-2 AP1 PB
1962,28,PHI,QB,9,14,13,3-9-1,196,366,53.6,3261,22,6,26,7.1,84,8.9,6.9,16.6,232.9,74.3,,,,,,,,11,
1963,29,PHI,QB,9,9,8,1-6-1,99,184,53.8,1413,11,6,13,7.1,75,7.7,5.7,14.3,157,69.4,13,111,6.6,6.61,4.76,1,0,5,
1964*,30,WAS,QB,9,14,14,6-8-0,207,385,53.8,2934,24,6.2,13,3.4,80,7.6,7.3,14.2,209.6,85.4,38,302,9,6.22,5.97,0,1,12,AP CPoY-3 PB
1965,31,WAS,QB,9,13,13,6-7-0,190,356,53.4,2367,15,4.2,16,4.5,55,6.6,5.5,12.5,182.1,69.6,29,245,7.5,5.51,4.42,1,1,8,
1966*,32,WAS,QB,9,14,14,7-7-0,254,436,58.3,3209,28,6.4,19,4.4,86,7.4,6.7,12.6,229.2,84.5,26,210,5.6,6.49,5.85,2,3,14,AP MVP-7 PB
1967*,33,WAS,QB,9,14,14,5-6-3,288,508,56.7,3747,31,6.1,16,3.1,86,7.4,7.2,13,267.6,87.3,19,157,3.6,6.81,6.62,4,2,16,UPI MVP-3 AP2 PB
1968,34,WAS,QB,9,12,12,4-8-0,167,292,57.2,1980,17,5.8,11,3.8,99,6.8,6.3,11.9,165,81.7,21,183,6.7,5.74,5.25,,,7,
1969*,35,WAS,QB,9,14,14,7-5-2,274,442,62,3102,22,5,15,3.4,88,7,6.5,11.3,221.6,85.4,40,322,8.3,5.77,5.28,2,0,15,AP MVP-5 UPI MVP-7 AP2 PB
1970,36,WAS,QB,9,14,14,6-8-0,202,337,59.9,2354,23,6.8,10,3,66,7,7,11.7,168.1,91.5,25,214,6.9,5.91,5.94,,,15,
1971,37,WAS,qb,9,5,1,1-0-0,16,28,57.1,170,0,0,2,7.1,30,6.1,2.9,10.6,34,45.2,1,8,3.4,5.59,2.48,,,1,
1972,38,WAS,qb,9,7,4,4-0-0,39,59,66.1,633,2,3.4,4,6.8,36,10.7,8.4,16.2,90.4,84.9,2,21,3.3,10.03,7.74,1,1,3,
1973,39,WAS,qb,9,14,4,3-1-0,87,145,60,904,6,4.1,5,3.4,36,6.2,5.5,10.4,64.6,77.5,16,114,9.9,4.91,4.25,2,1,4,
1974,40,WAS,qb,9,14,4,3-1-0,107,167,64.1,1185,11,6.6,5,3,44,7.1,7.1,11.1,84.6,94.5,10,69,5.6,6.31,6.28,2,2,7,
Career,,,,,218,147,69-71-7,2433,4262,57.1,32224,255,6,189,4.4,99,7.6,6.8,13.2,147.8,82.6,240,1956,5.3,6.72,5.97,18,14,136,
11 yrs,,WAS,,,135,108,52-51-5,1831,3155,58,22585,179,5.7,116,3.7,99,7.2,6.6,12.3,167.3,83.9,227,1845,6.7,6.13,5.65,14,11,102,
7 yrs,,PHI,,,83,39,17-20-2,602,1107,54.4,9639,76,6.9,73,6.6,84,8.7,7.1,16,116.1,79.1,13,111,6.6,6.61,4.76,4,3,34,
