Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1975,22,NWE,QB,14,13,7,1-6-0,139,274,50.7,1976,11,4,18,6.6,62,7.2,5.1,14.2,152,60.4,22,207,7.4,5.98,3.98,,,7,
1976,23,NWE,QB,14,14,14,11-3-0,145,302,48,1903,18,6,20,6.6,58,6.3,4.5,13.1,135.9,60.6,18,155,5.6,5.46,3.78,0,0,15,
1977,24,NWE,QB,14,14,14,9-5-0,160,305,52.5,2162,17,5.6,21,6.9,68,7.1,5.1,13.5,154.4,65.2,14,155,4.4,6.29,4.39,2,2,15,
1978,25,NWE,QB,14,16,16,11-5-0,181,362,50,2824,15,4.1,23,6.4,75,7.8,5.8,15.6,176.5,63.6,21,184,5.5,6.89,4.97,3,6,16,
1979,26,NWE,QB,14,16,16,9-7-0,206,423,48.7,3286,28,6.6,20,4.7,63,7.8,7,16,205.4,77.4,45,341,9.6,6.29,5.57,1,1,14,
1980,27,NWE,QB,14,12,12,7-5-0,175,306,57.2,2475,18,5.9,22,7.2,71,8.1,6,14.1,206.3,73.1,17,138,5.3,7.24,5.28,1,1,11,
1981,28,NWE,qb,14,8,7,1-6-0,117,216,54.2,1859,7,3.2,16,7.4,76,8.6,5.9,15.9,232.4,63,19,137,8.1,7.33,4.86,,,6,
1982,29,NWE,QB,14,6,6,4-2-0,66,122,54.1,930,7,5.7,4,3.3,62,7.6,7.3,14.1,155,84.4,8,48,6.2,6.78,6.48,0,2,5,
1983,30,NWE,QB,14,12,12,6-6-0,168,303,55.4,2411,15,5,12,4,76,8,7.2,14.4,200.9,81.4,29,195,8.7,6.67,5.95,2,2,8,
1984,31,NWE,qb,14,3,3,2-1-0,32,68,47.1,444,3,4.4,6,8.8,65,6.5,3.4,13.9,148,46.4,7,45,9.3,5.32,2.52,,,1,
1985,32,NWE,qb,14,7,6,5-1-0,85,156,54.5,1311,7,4.5,5,3.2,56,8.4,7.9,15.4,187.3,84.1,11,86,6.6,7.34,6.83,2,3,5,
1986,33,NWE,qb,14,4,2,1-1-0,62,102,60.8,976,9,8.8,2,2,69,9.6,10.5,15.7,244,113.8,4,31,3.8,8.92,9.76,1,1,3,
1987,34,NWE,QB,14,7,6,4-2-0,93,161,57.8,1183,10,6.2,9,5.6,40,7.3,6.1,12.7,169,78.2,7,55,4.2,6.71,5.49,0,1,4,
1988,35,NWE,qb,14,6,4,1-3-0,67,140,47.9,834,4,2.9,13,9.3,41,6,2.4,12.4,139,37.6,8,77,5.4,5.11,1.7,,,3,
1989,36,NWE,QB,14,7,6,2-4-0,133,261,51,1697,9,3.4,14,5.4,55,6.5,4.8,12.8,242.4,60.8,8,64,3,6.07,4.4,1,1,3,
1990,37,NWE,qb,14,4,4,1-3-0,50,92,54.3,615,4,4.3,3,3.3,48,6.7,6.1,12.3,153.8,76.1,9,68,8.9,5.42,4.87,,,1,
Career,,,,,149,135,75-60-0,1879,3593,52.3,26886,182,5.1,208,5.8,76,7.5,5.9,14.3,180.4,69.6,247,1986,6.4,6.48,4.99,13,20,117,
