Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2001,24,SEA,LG,76,16,16,,,,,,0,0,1,0,0,0,,,,,,,7,
2002,25,SEA,g,76,4,4,,,,,,,,,,,0,,,,,,,2,
2003*+,26,SEA,LG,76,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
2004*,27,SEA,LG,76,16,16,,,,,,0,1,2,0,0,0,,,,,,,12,AP2 PB
2005*+,28,SEA,LG,76,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
2006*,29,MIN,LG,76,16,16,,,,,,,,,,,0,,,,,,,9,AP2 PB
2007*+,30,MIN,LG,76,16,16,,,,,,0,0,2,1,0,0,,,,,,,11,AP1 PB
2008*+,31,MIN,LG,76,16,16,,,,,,,,,,,0,,,,,,,13,AP1 PB
2009*+,32,MIN,LG,76,16,16,,,,,,,,,,,0,,,,,,,17,AP1 PB
2010,33,MIN,LG,76,11,11,,,,,,0,0,1,0,0,0,,,,,,,4,
2011,34,MIN,LG,76,14,14,,,,,,,,,,,0,,,,,,,7,
2012,35,TEN,LG,73,12,12,,,,,,,,,,,0,,,,,,,5,
Career,,,,,169,169,,,,,,0,1,6,1,0,0,,,,,,,117,
6 yrs,,MIN,,,89,89,,,,,,0,0,3,1,0,0,,,,,,,61,
5 yrs,,SEA,,,68,68,,,,,,0,1,3,0,0,0,,,,,,,51,
1 yr,,TEN,,,12,12,,,,,,,,,,,0,,,,,,,5,
