Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1980,23,NWE,nt,66,6,0,,,,,,,,,,,0,5,,,,0,
1981,24,CHI,dt,76,10,0,,,,,,,0,1,0,0,0,1,,,,1,
1982,25,CHI,dt,76,9,0,,,,,,,0,1,64,0,2.5,18,,,,2,
1983,26,CHI,RDT,76,16,10,,,,,,1,0,2,0,0,8.5,37,,,,7,
1984,27,CHI,LDT,76,16,16,,,,,,,,,,,10,42,,,,9,
1985+,28,CHI,LDT,76,16,16,,,,,,,0,1,0,0,8,44,,,1,18,AP1
1986*,29,CHI,LDT,76,16,16,1,5,0,5,,1,0,2,0,0,8,87,,,1,18,AP2 PB
1987*+,30,CHI,LDT,76,12,12,,,,,,2,0,0,0,0,7,57,,,,14,AP1 PB
1988,31,CHI,LDT,76,16,16,,,,,,1,0,2,1,0,11.5,88,,,1,10,
1989,32,CHI,LDT,76,16,16,,,,,,1,0,1,0,0,7.5,108,,,,7,
1990,33,CHI,rdt,76,16,7,,,,,,,,,,,4,71,,,,4,
1991,34,CHI,LDT,76,16,16,,,,,,2,0,2,0,0,9,94,,,,14,AP2
1992,35,CHI,LDT,76,16,16,,,,,,4,0,2,2,0,10.5,89,,,,8,
1993,36,CHI,LDT,76,16,16,1,0,0,0,,0,0,2,0,0,6,78,,,,9,
1994,37,GNB,RDT,90,16,14,,,,,,1,0,1,0,0,2.5,28,19,9,,7,
Career,,,,,213,171,2,5,0,5,,13,0,17,67,0,95,847,19,9,3,128,
13 yrs,,CHI,,,191,157,2,5,0,5,,12,0,16,67,0,92.5,814,,0,3,121,
1 yr,,GNB,,,16,14,,,,,,1,0,1,0,0,2.5,28,19,9,,7,
1 yr,,NWE,,,6,0,,,,,,,,,,,0,5,,0,,0,
