Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1995,22,HOU,qb,9,4,2,2-0-0,41,80,51.3,569,3,3.8,1,1.3,23,53,7.1,7.3,13.9,142.3,81.7,,6,63,7,5.88,6.06,,,2,
1996,23,HOU,qb,9,9,4,2-2-0,88,143,61.5,1197,6,4.2,4,2.8,47,83,8.4,8,13.6,133,90.6,,9,45,5.9,7.58,7.18,,,5,
1997,24,TEN,QB,9,16,16,8-8-0,216,415,52,2665,14,3.4,13,3.1,134,55,6.4,5.7,12.3,166.6,70.4,,31,190,7,5.55,4.87,1,1,15,
1998,25,TEN,QB,9,16,16,8-8-0,289,492,58.7,3228,15,3,10,2,161,47,6.6,6.3,11.2,201.8,80.1,,33,176,6.3,5.81,5.53,1,2,15,
1999,26,TEN,QB,9,11,11,9-2-0,187,331,56.5,2179,12,3.6,8,2.4,101,65,6.6,6.2,11.7,198.1,78.6,,16,74,4.6,6.07,5.72,1,2,10,
2000*,27,TEN,QB,9,16,15,12-3-0,248,396,62.6,2847,15,3.8,13,3.3,141,56,7.2,6.5,11.5,177.9,83.2,,24,141,5.7,6.44,5.76,3,3,12,PB
2001,28,TEN,QB,9,15,15,7-8-0,264,431,61.3,3350,21,4.9,12,2.8,161,71,7.8,7.5,12.7,223.3,90.2,,37,251,7.9,6.62,6.37,1,4,13,
2002,29,TEN,QB,9,16,16,11-5-0,301,492,61.2,3387,22,4.5,15,3,179,55,6.9,6.4,11.3,211.7,84,,21,121,4.1,6.37,5.91,3,3,15,AP MVP-3 AP OPoY-5
2003*,30,TEN,QB,9,14,14,10-4-0,250,400,62.5,3215,24,6,7,1.8,165,73,8,8.5,12.9,229.6,100.4,,19,108,4.5,7.42,7.81,1,1,14,AP MVP-1 AP OPoY-5 AP2 PB
2004,31,TEN,QB,9,8,8,3-5-0,129,215,60,1343,8,3.7,9,4.2,76,37,6.2,5.1,10.4,167.9,73.1,,13,95,5.7,5.47,4.4,1,1,3,
2005*,32,TEN,QB,9,14,14,4-10-0,292,476,61.3,3161,16,3.4,11,2.3,164,57,6.6,6.3,10.8,225.8,82.4,,20,134,4,6.1,5.75,0,1,10,PB
2006,33,BAL,QB,9,16,16,13-3-0,295,468,63,3050,16,3.4,12,2.6,159,87,6.5,6,10.3,190.6,82.5,66,14,84,2.9,6.15,5.7,3,3,10,
2007,34,BAL,qb,9,6,6,2-4-0,133,205,64.9,1113,2,1,4,2,58,30,5.4,4.7,8.4,185.5,73.9,33.2,11,85,5.1,4.76,4.11,,,1,
Career,,,,,161,153,91-62-0,2733,4544,60.1,31304,174,3.8,119,2.6,1569,87,6.9,6.5,11.5,194.4,82.8,,254,1567,5.3,6.2,5.81,15,21,125,
11 yrs,,HOU-TEN,,,139,131,76-55-0,2305,3871,59.5,27141,156,4,103,2.7,1352,83,7,6.6,11.8,195.3,83.3,,229,1398,5.6,6.28,5.91,12,18,114,
2 yrs,,BAL,,,22,22,15-7-0,428,673,63.6,4163,18,2.7,16,2.4,217,87,6.2,5.7,9.7,189.2,79.9,,25,169,3.6,5.72,5.21,3,3,11,
