Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2001*+,22,CAR,wr,89,15,1,20,10,154,15.4,0,8,33,0.7,10.3,50.00%,7.7,4,43,0,3,39,10.8,2.9,0.3,14,14.1,197,0,8,5,AP1 PB
2002,23,CAR,WR,89,15,13,98,54,872,16.1,3,33,69,3.6,58.1,55.10%,8.9,1,-4,0,0,-4,-4,-0.3,0.1,55,15.8,868,3,5,8,
2003,24,CAR,WR,89,16,11,142,88,1110,12.6,7,47,67,5.5,69.4,62.00%,7.8,11,42,0,4,14,3.8,2.6,0.7,99,11.6,1152,7,5,11,
2004,25,CAR,wr,89,1,1,9,6,60,10,0,4,15,6,60,66.70%,6.7,,,,,,,,,6,10,60,0,0,1,
2005*+,26,CAR,WR,89,16,16,150,103,1563,15.2,12,72,80,6.4,97.7,68.70%,10.4,4,25,1,2,20,6.3,1.6,0.3,107,14.8,1588,13,2,18,AP CPoY-1 AP1 PB
2006*,27,CAR,WR,89,14,14,139,83,1166,14,8,52,72,5.9,83.3,59.70%,8.4,8,61,1,3,24,7.6,4.4,0.6,91,13.5,1227,9,2,9,PB
2007,28,CAR,WR,89,15,15,148,87,1002,11.5,7,45,74,5.8,66.8,58.80%,6.8,9,66,0,4,22,7.3,4.4,0.6,96,11.1,1068,7,1,9,
2008*,29,CAR,WR,89,14,14,129,78,1421,18.2,6,59,65,5.6,101.5,60.50%,11,5,40,0,3,23,8,2.9,0.4,83,17.6,1461,6,1,15,AP OPoY-6 AP2 PB
2009,30,CAR,WR,89,15,15,129,65,982,15.1,7,42,66,4.3,65.5,50.40%,7.6,5,22,0,2,17,4.4,1.5,0.3,70,14.3,1004,7,1,9,
2010,31,CAR,WR,89,14,14,100,46,554,12,2,24,39,3.3,39.6,46.00%,5.5,1,9,0,1,9,9,0.6,0.1,47,12,563,2,3,3,
2011*,32,CAR,WR,89,16,16,129,79,1394,17.6,7,53,77,4.9,87.1,61.20%,10.8,6,56,0,3,23,9.3,3.5,0.4,85,17.1,1450,7,3,14,AP CPoY-4 PB
2012,33,CAR,WR,89,16,16,137,73,1174,16.1,4,52,66,4.6,73.4,53.30%,8.6,3,27,0,1,15,9,1.7,0.2,76,15.8,1201,4,1,10,
2013,34,CAR,WR,89,15,15,110,64,745,11.6,4,44,44,4.3,49.7,58.20%,6.8,,,,,,,,,64,11.6,745,4,0,8,
2014,35,BAL,WR,89,16,16,134,79,1065,13.5,6,45,80,4.9,66.6,59.00%,7.9,,,,,,,,,79,13.5,1065,6,2,10,
2015,36,BAL,WR,89,7,7,73,46,670,14.6,3,29,50,6.6,95.7,63.00%,9.2,,,,,,,,,46,14.6,670,3,0,4,
2016,37,BAL,WR,89,14,14,101,70,799,11.4,5,39,52,5,57.1,69.30%,7.9,,,,,,,,,70,11.4,799,5,0,5,
Career,,,,,219,198,1748,1031,14731,14.3,81,648,80,4.7,67.3,59.00%,8.4,57,387,2,26,39,6.8,1.8,0.3,1088,13.9,15118,83,34,139,
13 yrs,,CAR,,,182,161,1440,836,12197,14.6,67,535,80,4.6,67,58.10%,8.5,57,387,2,26,39,6.8,2.1,0.3,893,14.1,12584,69,32,120,
3 yrs,,BAL,,,37,37,308,195,2534,13,14,113,80,5.3,68.5,63.30%,8.2,,,,,,,,,195,13,2534,14,2,19,
