Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1989,22,RAI,RG,76,15,15,,,,,,,0,3,0,0,0,,,,,,,7,
1990*,23,RAI,LG,76,16,16,,,,,,,,,,,0,,,,,,,13,AP2 PB
1991*+,24,RAI,LG,76,15,15,,,,,,,,,,,0,,,,,,,12,AP1 PB
1992*+,25,RAI,LG,76,16,16,,,,,,,,,,,0,,,,,,,12,AP1 PB
1993*,26,RAI,LG,76,16,16,,,,,,,,,,,0,,,,,,,12,AP2 PB
1994*,27,RAI,LG,76,16,16,,,,,,,,,,,0,,,,,,,10,AP2 PB
1995*,28,OAK,LG,76,16,16,,,,,,0,0,1,0,0,0,,,,,,,11,AP2 PB
1996,29,OAK,LG,76,16,16,,,,,,,,,,,0,,,,,,,12,AP2
1997*,30,OAK,LG,76,16,16,,,,,,,,,,,0,,,,,,,10,PB
1998,31,OAK,LG,76,16,16,,,,,,,,,,,0,,,,,,,6,
1999,32,OAK,LG,76,16,16,,,,,,,,,,,0,,,,,,,9,
2000*,33,OAK,LG,76,16,16,,,,,,,,,,,0,,,,,,,15,AP2 PB
2001,34,OAK,LG,76,16,16,,,,,,,,,,,0,,,,,,,9,
Career,,,,,206,206,,,,,,0,0,4,0,0,0,,,,,,,138,
