Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1985,24,TAM,QB,8,5,5,1-4-0,72,138,52.2,935,3,2.2,8,5.8,,59,6.8,4.6,13,187,56.9,21,158,13.2,4.89,3,1,1,4,
1986,25,TAM,QB,8,14,14,2-12-0,195,363,53.7,2282,8,2.2,13,3.6,,46,6.3,5.1,11.7,163,65.5,47,326,11.5,4.77,3.73,,,9,
1987,26,SFO,QB,8,8,3,2-1-0,37,69,53.6,570,10,14.5,0,0,,50,8.3,11.2,15.4,71.3,120.8,3,25,4.2,7.57,10.35,,,4,
1988,27,SFO,QB,8,11,3,2-1-0,54,101,53.5,680,3,3,3,3,,73,6.7,6,12.6,61.8,72.2,13,75,11.4,5.31,4.65,1,1,4,
1989,28,SFO,QB,8,10,3,3-0-0,64,92,69.6,1001,8,8.7,3,3.3,,50,10.9,11.2,15.6,100.1,120.8,12,84,11.5,8.82,9.06,0,1,5,
1990,29,SFO,QB,8,6,1,0-1-0,38,62,61.3,427,2,3.2,0,0,,34,6.9,7.5,11.2,71.2,92.6,8,41,11.4,5.51,6.09,1,1,2,
1991,30,SFO,QB,8,11,10,5-5-0,180,279,64.5,2517,17,6.1,8,2.9,,97,9,8.9,14,228.8,101.8,13,79,4.5,8.35,8.28,,,14,
1992*+,31,SFO,QB,8,16,16,14-2-0,268,402,66.7,3465,25,6.2,7,1.7,,80,8.6,9.1,12.9,216.6,107,29,152,6.7,7.69,8.12,3,5,22,AP MVP-1 AP OPoY-1 AP1 PB
1993*+,32,SFO,QB,8,16,16,10-6-0,314,462,68,4023,29,6.3,16,3.5,,80,8.7,8.4,12.8,251.4,101.5,31,160,6.3,7.84,7.55,,,22,AP MVP-2 AP OPoY-2 AP1 PB
1994*+,33,SFO,QB,8,16,16,13-3-0,324,461,70.3,3969,35,7.6,10,2.2,187,69,8.6,9.2,12.3,248.1,112.8,31,163,6.3,7.74,8.24,1,1,22,AP MVP-1 AP OPoY-2 AP1 PB
1995*,34,SFO,QB,8,11,11,8-3-0,299,447,66.9,3200,20,4.5,11,2.5,163,57,7.2,6.9,10.7,290.9,92.3,25,115,5.3,6.54,6.33,,,13,AP2 PB
1996*,35,SFO,QB,8,12,12,9-3-0,214,316,67.7,2410,14,4.4,6,1.9,125,52,7.6,7.7,11.3,200.8,97.2,34,160,9.7,6.43,6.46,2,2,12,PB
1997*,36,SFO,QB,8,15,15,12-3-0,241,356,67.7,3029,19,5.3,6,1.7,148,82,8.5,8.8,12.6,201.9,104.7,35,220,9,7.18,7.47,1,1,14,AP MVP-4 AP2 PB
1998*,37,SFO,QB,8,15,15,11-4-0,322,517,62.3,4170,36,7,12,2.3,208,81,8.1,8.4,13,278,101.1,48,234,8.5,6.97,7.28,2,3,19,AP OPoY-4 AP2 PB
1999,38,SFO,QB,8,3,3,2-1-0,45,84,53.6,446,3,3.6,4,4.8,17,53,5.3,3.9,9.9,148.7,60.9,8,63,8.7,4.16,2.86,1,0,2,
Career,,,,,169,143,94-49-0,2667,4149,64.3,33124,232,5.6,107,2.6,848,97,8,7.9,12.4,196,96.8,358,2055,7.9,6.89,6.85,13,16,168,
13 yrs,,SFO,,,150,124,91-33-0,2400,3648,65.8,29907,221,6.1,86,2.4,848,97,8.2,8.3,12.5,199.4,101.4,290,1571,7.4,7.2,7.34,12,15,155,
2 yrs,,TAM,,,19,19,3-16-0,267,501,53.3,3217,11,2.2,21,4.2,0,59,6.4,5,12,169.3,63.1,68,484,12,4.8,3.53,1,1,13,
