Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1969,22,BAL,RLB,83,14,8,,,,,,,,,,,2,,4,AP DRoY-7
1970,23,BAL,RLB,83,14,14,1,31,0,31,,,,,,,1,,9,
1971*+,24,BAL,RLB,83,14,14,5,70,0,40,,,0,1,31,1,5,,21,AP1 PB
1972*,25,BAL,LLB,83,14,14,2,13,0,13,,,1,0,0,0,6,,11,AP2 PB
1973*,26,BAL,LLB,83,14,14,3,33,0,24,,,0,4,0,0,4,,9,PB
1974*+,27,GNB,LLB,56,14,14,5,74,0,44,,,0,1,0,0,1,1,14,AP DPoY-3 AP1 PB
1975,28,OAK,RLB,83,14,5,2,40,0,33,,,,,,,5,1,5,
1976,29,OAK,ROLB,83,14,14,1,9,0,9,,,,,,,6,1,10,AP2
1977,30,OAK,ROLB,83,14,14,,,,,,,0,1,0,0,2,,8,
1978,31,OAK,LOLB,83,16,16,3,29,0,16,,,0,2,0,0,6,,9,
1979,32,OAK,LOLB,83,16,16,1,23,1,23,,,,,,,3,,7,
1980*+,33,OAK,LOLB,83,16,16,3,10,0,5,,,0,4,4,0,8.5,1,15,AP DPoY-2 AP1 PB
1981*,34,OAK,LOLB,83,16,16,,,,,,,0,1,0,0,2.5,,9,PB
1982*+,35,RAI,LOLB,83,9,9,,,,,,,0,1,6,0,7,,14,AP DPoY-2 AP1 PB
1983*,36,RAI,LOLB,83,16,16,,,,,,,0,1,0,0,2,,9,AP DPoY-13 PB
Career,,,,,215,200,26,332,1,44,,,1,16,53,1,61,4,154,
9 yrs,,OAK-RAI,,,131,122,10,111,1,33,,,0,10,22,0,42,3,86,
5 yrs,,BAL,,,70,64,11,147,0,40,,,1,5,31,1,18,,54,
1 yr,,GNB,,,14,14,5,74,0,44,,,0,1,0,0,1,1,14,
