Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2003,21,BAL,LB,55,16,1,1,11,0,11,3,5,0,4,7,0,12,29,20,9,9,,,4,AP DRoY-1
2004*,22,BAL,LOLB,55,16,16,0,0,0,0,1,1,0,2,24,0,10.5,67,51,16,17,,,12,PB
2005,23,BAL,RDE,55,16,16,2,38,0,38,5,3,0,1,0,0,8,69,46,23,6,,,10,
2006*,24,BAL,RDE/LOLB,55,16,15,0,0,0,0,7,3,0,2,0,0,9.5,65,47,18,15,15,,13,PB
2007,25,BAL,ROLB,55,16,16,0,0,0,0,6,1,0,0,0,0,5,78,51,27,13,15,,6,
2008*,26,BAL,ROLB,55,16,16,2,86,2,44,9,2,0,1,0,0,8,69,54,15,19,15,,17,AP2 PB
2009,27,BAL,LOLB,55,13,13,0,0,0,0,5,1,0,1,0,0,4.5,59,44,15,9,7,,7,
2010*,28,BAL,LOLB,55,16,16,0,0,0,0,2,2,0,0,0,0,11,68,53,15,18,21,,11,PB
2011*+,29,BAL,LOLB,55,16,16,2,9,0,9,6,7,0,0,0,0,14,70,50,20,20,23,,17,AP DPoY-1 AP1 PB
2012,30,BAL,ROLB,55,8,8,0,0,0,0,4,,,,,,2,22,17,5,3,5,,4,
2013*,31,BAL,LOLB,55,16,16,,,,,,0,0,1,0,0,10,80,47,33,13,19,,12,AP CPoY-6 PB
2014,32,BAL,LOLB,55,16,16,0,0,0,0,1,0,0,1,0,0,12,61,36,25,16,20,1,8,
2015,33,BAL,LB,55,1,1,,,,,,,,,,,0,,,,,,,0,
2016,34,BAL,LOLB,55,15,15,0,0,0,0,4,3,0,0,0,0,8,35,28,7,11,16,,7,
2017*,35,BAL,LOLB,55,16,16,0,0,0,0,4,4,0,0,0,0,11,49,37,12,11,20,,11,PB
2018,36,BAL,LOLB,55,16,16,0,0,0,0,6,1,0,1,43,1,7,34,25,9,13,15,,10,
2019,37,2TM,,,15,13,,,,,,4,0,1,0,0,6.5,40,24,16,9,9,,5,
,,ARI,ROLB,56,13,13,,,,,,4,0,1,0,0,5.5,37,23,14,8,7,,5,
,,KAN,LB,94,2,0,,,,,,,,,,,1,3,1,2,1,2,,0,
Career,,,,,244,226,7,144,2,44,63,37,0,15,74,1,139,895,630,265,202,200,1,154,
16 yrs,,BAL,,,229,213,7,144,2,44,63,33,0,14,74,1,132.5,855,606,249,193,191,1,149,
1 yr,,ARI,,,13,13,,,,,,4,0,1,0,0,5.5,,,14,8,7,,5,
1 yr,,KAN,,,2,0,,,,,,,,,,,1,,,2,1,2,,0,
