Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1970,22,PIT,QB,12,13,8,3-5-0,83,218,38.1,1410,6,2.8,24,11,87,6.5,2.1,17,108.5,30.4,25,242,10.3,4.81,0.86,,,1,
1971,23,PIT,QB,12,14,13,5-8-0,203,373,54.4,2259,13,3.5,22,5.9,49,6.1,4.1,11.1,161.4,59.7,33,287,8.1,4.86,3.06,3,3,10,
1972,24,PIT,QB,12,14,14,11-3-0,147,308,47.7,1887,12,3.9,12,3.9,78,6.1,5.2,12.8,134.8,64.1,29,237,8.6,4.9,4.01,2,3,14,
1973,25,PIT,QB,12,10,9,8-1-0,89,180,49.4,1183,10,5.6,15,8.3,67,6.6,3.9,13.3,118.3,54.5,24,186,11.8,4.89,2.56,0,1,7,
1974,26,PIT,QB,12,8,7,5-2-0,67,148,45.3,785,7,4.7,8,5.4,56,5.3,3.8,11.7,98.1,55.2,10,104,6.3,4.31,2.92,,,6,
1975*,27,PIT,QB,12,14,14,12-2-0,165,286,57.7,2055,18,6.3,9,3.1,59,7.2,7,12.5,146.8,88,31,290,9.8,5.57,5.43,0,2,14,PB
1976,28,PIT,QB,12,10,8,4-4-0,92,192,47.9,1177,10,5.2,9,4.7,50,6.1,5.1,12.8,117.7,65.4,16,164,7.7,4.87,3.88,,,9,
1977,29,PIT,QB,12,14,14,9-5-0,162,314,51.6,2523,17,5.4,19,6.1,65,8,6.4,15.6,180.2,71.4,26,235,7.6,6.73,5.21,0,1,15,
1978*+,30,PIT,QB,12,16,16,14-2-0,207,368,56.3,2915,28,7.6,20,5.4,70,7.9,7,14.1,182.2,84.7,21,222,5.4,6.92,6.05,2,2,16,AP MVP-1 AP OPoY-2 AP1 PB
1979*,31,PIT,QB,12,16,16,12-4-0,259,472,54.9,3724,26,5.5,25,5.3,65,7.9,6.6,14.4,232.8,77,24,196,4.8,7.11,5.89,4,4,14,AP MVP-4 PB
1980,32,PIT,QB,12,15,15,9-6-0,218,424,51.4,3339,24,5.7,22,5.2,68,7.9,6.7,15.3,222.6,75,33,245,7.2,6.77,5.65,3,4,12,
1981,33,PIT,QB,12,14,14,8-6-0,201,370,54.3,2887,22,5.9,14,3.8,90,7.8,7.3,14.4,206.2,83.9,17,155,4.4,7.06,6.57,0,2,11,
1982,34,PIT,QB,12,9,9,6-3-0,127,240,52.9,1768,17,7.1,11,4.6,74,7.4,6.7,13.9,196.4,81.4,18,131,7,6.34,5.74,1,1,11,
1983,35,PIT,qb,12,1,1,1-0-0,5,8,62.5,77,2,25,0,0,24,9.6,14.6,15.4,77,133.9,0,0,0,9.63,14.63,,,0,
Career,,,,,168,158,107-51-0,2025,3901,51.9,27989,212,5.4,210,5.4,90,7.2,5.8,13.8,166.6,70.9,307,2694,7.3,6.01,4.77,15,23,140,
