Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1988,22,BUF,RB,34,15,15,207,881,2,,37,4.3,58.7,13.8,,18,208,11.6,0,,34,1.2,13.9,,,225,4.8,1089,2,9,9,
1989*,23,BUF,RB,34,16,16,298,1244,6,,38,4.2,77.8,18.6,,60,669,11.2,6,,74,3.8,41.8,,,358,5.3,1913,12,7,16,AP2 PB
1990*+,24,BUF,RB,34,16,16,271,1297,11,,80,4.8,81.1,16.9,,49,532,10.9,2,,63,3.1,33.3,,,320,5.7,1829,13,6,19,AP1 PB
1991*+,25,BUF,RB,34,15,15,288,1407,7,,33,4.9,93.8,19.2,,62,631,10.2,5,,50,4.1,42.1,,,350,5.8,2038,12,5,20,AP MVP-1 AP OPoY-1 AP1 PB
1992*,26,BUF,RB,34,16,16,312,1487,9,,44,4.8,92.9,19.5,87,58,626,10.8,3,,43,3.6,39.1,66.70%,7.2,370,5.7,2113,12,6,19,AP OPoY-5 AP2 PB
1993*,27,BUF,RB,34,16,16,355,1315,6,,27,3.7,82.2,22.2,71,48,387,8.1,0,,37,3,24.2,67.60%,5.5,403,4.2,1702,6,6,12,AP2 PB
1994,28,BUF,RB,34,15,15,287,1093,7,64,29,3.8,72.9,19.1,71,50,349,7,2,16,28,3.3,23.3,70.40%,4.9,337,4.3,1442,9,1,12,
1995,29,BUF,RB,34,14,14,267,1005,6,64,49,3.8,71.8,19.1,41,26,220,8.5,2,10,60,1.9,15.7,63.40%,5.4,293,4.2,1225,8,6,8,
1996,30,BUF,RB,34,15,15,281,1033,8,69,36,3.7,68.9,18.7,42,26,254,9.8,0,9,69,1.7,16.9,61.90%,6,307,4.2,1287,8,1,7,
1997,31,BUF,RB,34,16,16,154,643,1,33,24,4.2,40.2,9.6,43,30,208,6.9,0,8,30,1.9,13,69.80%,4.8,184,4.6,851,1,2,5,
1998,32,BUF,RB,34,14,3,93,381,2,16,17,4.1,27.2,6.6,32,26,220,8.5,1,10,26,1.9,15.7,81.30%,6.9,119,5.1,601,3,0,6,
1999,33,BUF,RB,34,5,3,36,152,0,10,31,4.2,30.4,7.2,5,3,37,12.3,1,2,23,0.6,7.4,60.00%,7.4,39,4.8,189,1,0,1,
2000,34,MIA,RB,34,9,0,28,136,0,7,25,4.9,15.1,3.1,24,16,117,7.3,1,6,15,1.8,13,66.70%,4.9,44,5.8,253,1,1,2,
Career,,,,,182,160,2877,12074,65,263,80,4.2,66.3,15.8,416,472,4458,9.4,23,61,74,2.6,24.5,68%,5.8,3349,4.9,16532,88,50,136,
12 yrs,,BUF,,,173,160,2849,11938,65,256,80,4.2,69,16.5,392,456,4341,9.5,22,55,74,2.6,25.1,68.10%,5.9,3305,4.9,16279,87,49,134,
1 yr,,MIA,,,9,0,28,136,0,7,25,4.9,15.1,3.1,24,16,117,7.3,1,6,15,1.8,13,66.70%,4.9,44,5.8,253,1,1,2,
