Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1997,22,NYG,rb,21,12,6,136,511,3,32,42,3.8,42.6,11.3,54,34,299,8.8,1,13,29,2.8,24.9,63.00%,5.5,170,4.8,810,4,3,6,AP ORoY-4
1998,23,NYG,rb,21,16,4,52,166,0,8,23,3.2,10.4,3.3,59,42,348,8.3,3,13,87,2.6,21.8,71.20%,5.9,94,5.5,514,3,1,4,
1999,24,NYG,rb,21,16,1,62,258,0,13,30,4.2,16.1,3.9,91,66,609,9.2,2,32,56,4.1,38.1,72.50%,6.7,128,6.8,867,2,5,7,
2000,25,NYG,RB,21,16,12,213,1006,8,39,78,4.7,62.9,13.3,95,70,719,10.3,1,29,36,4.4,44.9,73.70%,7.6,283,6.1,1725,9,9,15,
2001,26,NYG,RB,21,14,9,166,865,4,40,36,5.2,61.8,11.9,98,72,577,8,0,30,44,5.1,41.2,73.50%,5.9,238,6.1,1442,4,8,9,
2002,27,NYG,RB,21,16,15,304,1387,11,71,70,4.6,86.7,19,95,69,597,8.7,0,24,38,4.3,37.3,72.60%,6.3,373,5.3,1984,11,9,15,
2003,28,NYG,RB,21,16,16,278,1216,2,68,27,4.4,76,17.4,98,69,461,6.7,1,26,36,4.3,28.8,70.40%,4.7,347,4.8,1677,3,9,9,
2004*,29,NYG,RB,21,16,14,322,1518,13,82,72,4.7,94.9,20.1,79,52,578,11.1,2,20,62,3.3,36.1,65.80%,7.3,374,5.6,2096,15,5,17,PB
2005*+,30,NYG,RB,21,16,16,357,1860,9,74,95,5.2,116.3,22.3,70,54,530,9.8,2,22,48,3.4,33.1,77.10%,7.6,411,5.8,2390,11,1,21,AP MVP-4 AP OPoY-3 AP1 PB
2006*,31,NYG,RB,21,16,16,327,1662,5,79,55,5.1,103.9,20.4,75,58,465,8,0,24,28,3.6,29.1,77.30%,6.2,385,5.5,2127,5,3,19,PB
Career,,,,,154,109,2217,10449,55,506,95,4.7,67.9,14.4,814,586,5183,8.8,12,233,87,3.8,33.7,72.00%,6.4,2803,5.6,15632,67,53,122,
