Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1988*,22,RAI,WR,81,16,9,,43,725,16.9,5,,65,2.7,45.3,,,14,50,1,,12,3.6,3.1,0.9,57,13.6,775,6,5,8,AP ORoY-4 PB
1989,23,RAI,wr,81,1,1,,1,8,8,0,,8,1,8,,,,,,,,,,,1,8,8,0,1,0,
1990,24,RAI,wr,81,16,0,,18,265,14.7,3,,51,1.1,16.6,,,,,,,,,,,18,14.7,265,3,3,3,
1991*,25,RAI,wr,81,16,1,,36,554,15.4,5,,78,2.3,34.6,,,5,16,0,,9,3.2,1,0.3,41,13.9,570,5,1,7,PB
1992,26,RAI,WR,81,15,12,95,49,693,14.1,7,,68,3.3,46.2,51.60%,7.3,3,-4,0,,3,-1.3,-0.3,0.2,52,13.3,689,7,6,6,
1993*,27,RAI,WR,81,16,16,127,80,1180,14.8,7,,71,5,73.8,63.00%,9.3,2,7,0,,14,3.5,0.4,0.1,82,14.5,1187,7,1,12,PB
1994*,28,RAI,WR,81,16,16,142,89,1309,14.7,9,64,77,5.6,81.8,62.70%,9.2,,,,,,,,,89,14.7,1309,9,3,11,PB
1995*,29,OAK,WR,81,16,16,148,89,1342,15.1,10,66,80,5.6,83.9,60.10%,9.1,,,,,,,,,89,15.1,1342,10,0,11,PB
1996*,30,OAK,WR,81,16,16,146,90,1104,12.3,9,53,42,5.6,69,61.60%,7.6,6,35,0,3,15,5.8,2.2,0.4,96,11.9,1139,9,3,11,PB
1997*,31,OAK,WR,81,16,16,162,104,1408,13.5,5,66,59,6.5,88,64.20%,8.7,5,19,0,1,12,3.8,1.2,0.3,109,13.1,1427,5,1,12,AP2 PB
1998,32,OAK,WR,81,16,16,153,81,1012,12.5,9,52,49,5.1,63.3,52.90%,6.6,1,-7,0,0,-7,-7,-0.4,0.1,82,12.3,1005,9,3,6,
1999*,33,OAK,WR,81,16,16,145,90,1344,14.9,6,64,47,5.6,84,62.10%,9.3,1,4,0,0,4,4,0.3,0.1,91,14.8,1348,6,0,14,PB
2000,34,OAK,WR,81,16,16,133,76,1128,14.8,11,59,45,4.8,70.5,57.10%,8.5,3,12,0,0,7,4,0.8,0.2,79,14.4,1140,11,0,15,
2001*,35,OAK,WR,81,16,16,140,91,1165,12.8,9,61,46,5.7,72.8,65.00%,8.3,4,39,0,2,19,9.8,2.4,0.3,95,12.7,1204,9,1,14,PB
2002,36,OAK,WR,81,16,16,127,81,930,11.5,2,46,45,5.1,58.1,63.80%,7.3,6,19,0,2,9,3.2,1.2,0.4,87,10.9,949,2,3,9,
2003,37,OAK,WR,81,16,15,94,52,567,10.9,2,27,36,3.3,35.4,55.30%,6,,,,,,,,,52,10.9,567,2,0,5,
2004,38,TAM,wr,81,15,4,31,24,200,8.3,1,8,21,1.6,13.3,77.40%,6.5,,,,,,,,,24,8.3,200,1,2,2,
Career,,,,,255,202,1643,1094,14934,13.7,100,566,80,4.3,58.6,60.60%,8.1,50,190,1,8,19,3.8,0.7,0.2,1144,13.2,15124,101,33,146,
16 yrs,,OAK-RAI,,,240,198,1612,1070,14734,13.8,99,558,80,4.5,61.4,60.30%,8.2,50,190,1,8,19,3.8,0.8,0.2,1120,13.3,14924,100,31,144,
1 yr,,TAM,,,15,4,31,24,200,8.3,1,8,21,1.6,13.3,77.40%,6.5,,,,,,,,,24,8.3,200,1,2,2,
