Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1966,23,RAM,LG,65,14,9,,,,,,,,,,,0,,4,
1967*,24,RAM,LG,65,14,13,,,,,,,,,,,0,,9,PB
1968*,25,RAM,LG,65,14,14,,,,,,,,,,,0,,8,PB
1969*,26,RAM,LG,65,14,14,,,,,,,,,,,0,,12,AP2 PB
1970*,27,RAM,LG,65,14,14,,,,,,,,,,,0,,9,PB
1971*,28,RAM,LG,65,14,14,,,,,,,,,,,0,,9,PB
1972*,29,RAM,LG,65,14,12,,,,,,,,,,,0,,12,AP2 PB
1973*,30,RAM,LG,65,14,14,,,,,,,,,,,0,,12,PB
1974*,31,RAM,LG,65,14,14,,,,,,,0,4,0,0,0,,11,AP2 PB
1975*,32,RAM,LG,65,14,14,,,,,,,0,1,3,0,0,,10,PB
1976,33,RAM,LG,65,14,14,,,,,,,,,,,0,,8,
1977*,34,RAM,LG,65,14,14,,,,,,,,,,,0,,11,PB
1978*,35,RAM,LG,65,16,16,,,,,,,,,,,0,,8,PB
Career,,,,,184,176,,,,,,,0,5,3,0,0,,123,
