Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1994,23,DEN,c,66,7,1,,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,1,
1995,24,DEN,C,66,15,15,,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,8,
1996,25,DEN,C,66,16,16,,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,9,
1997*,26,DEN,C,66,16,16,1,1,-1,-1,0,,-1,0.1,-0.1,100.00%,-1,,,,,,,,,1,-1,-1,0,0,13,PB
1998*,27,DEN,C,66,16,16,,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,13,PB
1999*,28,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,11,AP2 PB
2000*+,29,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,1,17,AP1 PB
2001,30,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,8,
2002,31,DEN,c,66,7,7,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,5,
2003*+,32,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,17,AP CPoY-11 AP1 PB
2004,33,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,1,10,
2005,34,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,10,
2006,35,DEN,C,66,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,8,
2007,36,DEN,c,66,5,5,,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,3,
Career,,,,,194,188,1,1,-1,-1,0,0,0,0,0,100.00%,-1,,,,,,,,,1,-1,-1,0,2,133,
