Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1977,23,DAL,RB,33,14,4,208,1007,12,84,4.8,71.9,14.9,29,273,9.4,1,23,2.1,19.5,237,5.4,1280,13,7,16,AP ORoY-1
1978*,24,DAL,RB,33,16,15,290,1325,7,63,4.6,82.8,18.1,37,378,10.2,2,91,2.3,23.6,327,5.2,1703,9,12,17,PB
1979,25,DAL,RB,33,14,14,250,1107,6,41,4.4,79.1,17.9,45,375,8.3,1,32,3.2,26.8,295,5,1482,7,9,12,
1980,26,DAL,RB,33,15,15,278,1185,11,56,4.3,79,18.5,34,263,7.7,0,27,2.3,17.5,312,4.6,1448,11,8,13,
1981*+,27,DAL,RB,33,16,16,342,1646,4,75,4.8,102.9,21.4,32,325,10.2,2,73,2,20.3,374,5.3,1971,6,10,14,AP MVP-3 AP OPoY-2 AP1 PB
1982*,28,DAL,RB,33,9,9,177,745,5,99,4.2,82.8,19.7,24,179,7.5,0,18,2.7,19.9,201,4.6,924,5,6,13,AP2 PB
1983*,29,DAL,RB,33,16,16,289,1321,8,77,4.6,82.6,18.1,40,287,7.2,1,24,2.5,17.9,329,4.9,1608,9,5,13,AP2 PB
1984,30,DAL,RB,33,16,16,302,1189,6,31,3.9,74.3,18.9,51,459,9,1,68,3.2,28.7,353,4.7,1648,7,12,9,
1985,31,DAL,RB,33,16,16,305,1307,7,60,4.3,81.7,19.1,46,449,9.8,3,56,2.9,28.1,351,5,1756,10,7,12,
1986,32,DAL,RB,33,13,12,184,748,5,33,4.1,57.5,14.2,25,267,10.7,1,36,1.9,20.5,209,4.9,1015,6,5,7,
1987,33,DAL,rb,33,12,6,130,456,1,24,3.5,38,10.8,19,177,9.3,1,33,1.6,14.8,149,4.2,633,2,3,5,
1988,34,DEN,RB,33,16,13,181,703,5,26,3.9,43.9,11.3,16,122,7.6,0,16,1,7.6,197,4.2,825,5,6,6,
Career,,,,,173,152,2936,12739,77,99,4.3,73.6,17,398,3554,8.9,13,91,2.3,20.5,3334,4.9,16293,90,90,137,
11 yrs,,DAL,,,157,139,2755,12036,72,99,4.4,76.7,17.5,382,3432,9,13,91,2.4,21.9,3137,4.9,15468,85,84,131,
1 yr,,DEN,,,16,13,181,703,5,26,3.9,43.9,11.3,16,122,7.6,0,16,1,7.6,197,4.2,825,5,6,6,
