Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1997,21,KAN,te,88,16,0,54,33,368,11.2,2,21,30,2.1,23,61.10%,6.8,,,,,,,,,33,11.2,368,2,0,4,
1998,22,KAN,TE,88,16,16,102,59,621,10.5,2,33,32,3.7,38.8,57.80%,6.1,,,,,,,,,59,10.5,621,2,3,6,
1999*+,23,KAN,TE,88,15,15,104,76,849,11.2,11,47,73,5.1,56.6,73.10%,8.2,,,,,,,,,76,11.2,849,11,2,8,AP1 PB
2000*+,24,KAN,TE,88,16,16,150,93,1203,12.9,9,66,39,5.8,75.2,62.00%,8,,,,,,,,,93,12.9,1203,9,0,11,AP1 PB
2001*+,25,KAN,TE,88,16,16,118,73,917,12.6,6,49,36,4.6,57.3,61.90%,7.8,1,9,0,0,9,9,0.6,0.1,74,12.5,926,6,0,9,AP1 PB
2002*,26,KAN,TE,88,16,16,99,63,773,12.3,7,39,42,3.9,48.3,63.60%,7.8,,,,,,,,,63,12.3,773,7,0,9,AP2 PB
2003*+,27,KAN,TE,88,16,16,106,71,916,12.9,10,48,67,4.4,57.3,67.00%,8.6,,,,,,,,,71,12.9,916,10,0,11,AP1 PB
2004*,28,KAN,TE,88,16,16,148,102,1258,12.3,7,70,32,6.4,78.6,68.90%,8.5,1,5,0,0,5,5,0.3,0.1,103,12.3,1263,7,0,12,AP2 PB
2005*,29,KAN,TE,88,16,16,116,78,905,11.6,2,45,39,4.9,56.6,67.20%,7.8,,,,,,,,,78,11.6,905,2,0,9,PB
2006*,30,KAN,TE,88,15,15,104,73,900,12.3,5,53,57,4.9,60,70.20%,8.7,,,,,,,,,73,12.3,900,5,1,9,AP2 PB
2007*,31,KAN,TE,88,16,16,153,99,1172,11.8,5,59,31,6.2,73.3,64.70%,7.7,,,,,,,,,99,11.8,1172,5,0,8,AP2 PB
2008*+,32,KAN,TE,88,16,16,155,96,1058,11,10,66,35,6,66.1,61.90%,6.8,,,,,,,,,96,11,1058,10,0,9,AP1 PB
2009,33,ATL,TE,88,16,16,134,83,867,10.4,6,55,27,5.2,54.2,61.90%,6.5,,,,,,,,,83,10.4,867,6,0,9,
2010*,34,ATL,TE,88,16,16,108,70,656,9.4,6,40,34,4.4,41,64.80%,6.1,,,,,,,,,70,9.4,656,6,0,8,PB
2011*,35,ATL,TE,88,16,16,116,80,875,10.9,7,53,30,5,54.7,69.00%,7.5,,,,,,,,,80,10.9,875,7,0,8,PB
2012*+,36,ATL,TE,88,16,16,124,93,930,10,8,65,25,5.8,58.1,75.00%,7.5,,,,,,,,,93,10,930,8,0,10,AP1 PB
2013*,37,ATL,TE,88,16,16,121,83,859,10.3,8,57,25,5.2,53.7,68.60%,7.1,,,,,,,,,83,10.3,859,8,0,7,PB
Career,,,,,270,254,2012,1325,15127,11.4,111,866,73,4.9,56,65.90%,7.5,2,14,0,0,9,7,0.1,0,1327,11.4,15141,111,6,147,
12 yrs,,KAN,,,190,174,1409,916,10940,11.9,76,596,73,4.8,57.6,65.00%,7.8,2,14,0,0,9,7,0.1,0,918,11.9,10954,76,6,105,
5 yrs,,ATL,,,80,80,603,409,4187,10.2,35,270,34,5.1,52.3,67.80%,6.9,,,,,,,,,409,10.2,4187,35,0,42,
