Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2004,24,DAL,qb,9,6,0,,0,0,,0,0,,0,,,0,,,,0,,,0,0,,,,,,0,
2005,25,DAL,qb,9,16,0,,0,0,,0,0,,0,,,0,,,,0,,,0,0,,,,,,0,
2006*,26,DAL,QB,9,16,10,6-4-0,220,337,65.3,2903,19,5.6,13,3.9,144,56,8.6,8,13.2,181.4,95.1,63.5,21,124,5.9,7.76,7.19,2,3,12,PB
2007*,27,DAL,QB,9,16,16,13-3-0,335,520,64.4,4211,36,6.9,19,3.7,216,59,8.1,7.8,12.6,263.2,97.4,76.9,24,176,4.4,7.42,7.17,2,2,17,PB
2008,28,DAL,QB,9,13,13,8-5-0,276,450,61.3,3448,26,5.8,14,3.1,149,75,7.7,7.4,12.5,265.2,91.4,60.8,20,123,4.3,7.07,6.84,2,2,10,
2009*,29,DAL,QB,9,16,16,11-5-0,347,550,63.1,4483,26,4.7,9,1.6,203,80,8.2,8.4,12.9,280.2,97.6,65.5,34,196,5.8,7.34,7.54,3,3,14,PB
2010,30,DAL,qb,9,6,6,1-5-0,148,213,69.5,1605,11,5.2,7,3.3,73,69,7.5,7.1,10.8,267.5,94.9,66.4,7,41,3.2,7.11,6.68,,,6,
2011,31,DAL,QB,9,16,16,8-8-0,346,522,66.3,4184,31,5.9,10,1.9,203,77,8,8.3,12.1,261.5,102.5,69,36,227,6.5,7.09,7.4,4,4,13,
2012,32,DAL,QB,9,16,16,8-8-0,425,648,65.6,4903,28,4.3,19,2.9,232,85,7.6,7.1,11.5,306.4,90.5,65.4,36,263,5.3,6.78,6.35,5,5,14,
2013,33,DAL,QB,9,15,15,8-7-0,342,535,63.9,3828,31,5.8,10,1.9,198,82,7.2,7.5,11.2,255.2,96.7,61.9,35,272,6.1,6.24,6.54,2,4,13,
2014*,34,DAL,QB,9,15,15,12-3-0,304,435,69.9,3705,34,7.8,9,2.1,191,68,8.5,9.1,12.2,247,113.2,79.7,29,215,6.3,7.52,8.11,3,4,14,AP MVP-3 AP OPoY-5 AP2 PB
2015,35,DAL,qb,9,4,4,3-1-0,83,121,68.6,884,5,4.1,7,5.8,47,39,7.3,5.5,10.7,221,79.4,50.5,6,35,4.7,6.69,4.99,1,2,2,
2016,36,DAL,qb,9,1,0,,3,4,75,29,1,25,0,0,3,15,7.3,12.3,9.7,29,134.4,99,0,0,0,7.25,12.25,,,0,
Career,,,,,156,127,78-49-0,2829,4335,65.3,34183,248,5.7,117,2.7,1659,85,7.9,7.8,12.1,219.1,97.1,,248,1672,5.4,7.09,7.03,24,29,115,
