Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1974,23,DAL,de,72,14,0,,,,,,,,,,,6,,4,AP DRoY-3
1975,24,DAL,LDE,72,14,14,1,2,0,2,,,0,1,0,0,3.5,,7,
1976,25,DAL,LDE,72,14,14,,,,,,,0,1,0,0,6,,8,
1977,26,DAL,LDE,72,14,14,,,,,,,,,,,6,,7,
1978,27,DAL,LDE,72,16,16,,,,,,,,,,,9.5,,8,
1979,,Missed season - Retired,,,,,,,,,,,,,,,,,,
1980,29,DAL,LDE,72,16,16,,,,,,,0,3,0,0,8,,8,
1981*,30,DAL,LDE,72,16,16,,,,,,,0,3,0,0,9.5,,14,AP DPoY-8 AP2 PB
1982*+,31,DAL,LDE,72,9,9,1,0,0,0,,,0,1,0,0,6,,18,AP1 PB
1983*,32,DAL,LDE,72,16,16,1,12,0,12,,,0,2,0,0,7,,12,AP2 PB
1984,33,DAL,LDE,72,16,16,,,,,,,0,2,0,0,8,,9,
1985,34,DAL,LDE,72,16,16,,,,,,,,,,,13,,7,
1986,35,DAL,LDE,72,16,16,,,,,,,0,3,0,0,5.5,,9,
1987,36,DAL,LDE,72,15,14,,,,,,,0,1,0,0,10,,7,
1988,37,DAL,LDE,72,16,16,,,,,,,0,2,0,0,7,,7,
1989,38,DAL,LDE,72,16,10,,,,,,,,,,,1,,4,
Career,,,,,224,203,3,14,0,12,,,0,19,0,0,106,,129,
