Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1999,23,STL,WR,88,16,15,97,52,788,15.2,6,32,63,3.3,49.3,53.60%,8.1,3,25,0,2,14,8.3,1.6,0.2,55,14.8,813,6,4,9,
2000*,24,STL,WR,88,16,15,139,82,1635,19.9,6,60,85,5.1,102.2,59.00%,11.8,2,7,0,0,7,3.5,0.4,0.1,84,19.5,1642,6,2,19,PB
2001*,25,STL,WR,88,16,14,133,81,1363,16.8,7,58,51,5.1,85.2,60.90%,10.2,2,0,0,0,2,0,0,0.1,83,16.4,1363,7,2,16,PB
2002,26,STL,WR,81,16,11,160,91,1302,14.3,4,71,58,5.7,81.4,56.90%,8.1,2,18,0,1,14,9,1.1,0.1,93,14.2,1320,4,1,9,
2003*+,27,STL,WR,81,16,15,183,117,1696,14.5,12,84,48,7.3,106,63.90%,9.3,1,5,0,0,5,5,0.3,0.1,118,14.4,1701,12,1,17,AP OPoY-6 AP1 PB
2004*,28,STL,WR,81,16,16,135,94,1372,14.6,10,59,75,5.9,85.8,69.60%,10.2,,,,,,,,,94,14.6,1372,10,3,10,PB
2005*,29,STL,WR,81,14,14,163,102,1331,13,9,63,44,7.3,95.1,62.60%,8.2,1,2,0,0,2,2,0.1,0.1,103,12.9,1333,9,2,11,PB
2006*,30,STL,WR,81,16,16,179,93,1188,12.8,10,66,67,5.8,74.3,52.00%,6.6,,,,,,,,,93,12.8,1188,10,2,12,AP2 PB
2007*,31,STL,WR,81,16,16,149,93,1189,12.8,7,62,40,5.8,74.3,62.40%,8,,,,,,,,,93,12.8,1189,7,2,8,PB
2008,32,STL,WR,81,16,14,119,64,796,12.4,3,40,45,4,49.8,53.80%,6.7,,,,,,,,,64,12.4,796,3,0,5,
2009,33,JAX,WR,81,15,12,103,51,722,14.2,0,35,63,3.4,48.1,49.50%,7,,,,,,,,,51,14.2,722,0,1,7,
Career,,,,,173,158,1560,920,13382,14.5,74,630,85,5.3,77.4,59.00%,8.6,11,57,0,3,14,5.2,0.3,0.1,931,14.4,13439,74,20,123,
10 yrs,,STL,,,158,146,1457,869,12660,14.6,74,595,85,5.5,80.1,59.60%,8.7,11,57,0,3,14,5.2,0.4,0.1,880,14.5,12717,74,19,116,
1 yr,,JAX,,,15,12,103,51,722,14.2,0,35,63,3.4,48.1,49.50%,7,,,,,,,,,51,14.2,722,0,1,7,
