Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1997,27,WAS,qb,10,1,0,,0,1,0,0,0,0,0,0,,0,0,0,,0,39.6,,0,0,0,0,0,,,0,
1998,28,WAS,QB,10,15,14,6-8-0,278,509,54.6,3441,23,4.5,11,2.2,173,75,6.8,6.7,12.4,229.4,81.8,,49,338,8.8,5.56,5.5,2,2,10,
1999,,Missed season - Injured (knee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,30,STL,qb,10,8,5,2-3-0,145,240,60.4,2063,16,6.7,5,2.1,92,64,8.6,9,14.2,257.9,101.8,,24,145,9.1,7.27,7.63,0,1,10,AP CPoY-12
2001,31,KAN,QB,10,16,16,6-10-0,296,523,56.6,3783,17,3.3,24,4.6,176,67,7.2,5.8,12.8,236.4,71.1,,39,198,6.9,6.38,5.06,2,3,13,
2002,32,KAN,QB,10,16,16,8-8-0,287,470,61.1,3690,26,5.5,13,2.8,177,99,7.9,7.7,12.9,230.6,92.6,,26,141,5.2,7.16,7.02,4,4,18,
2003*,33,KAN,QB,10,16,16,13-3-0,330,523,63.1,4039,24,4.6,12,2.3,198,67,7.7,7.6,12.2,252.4,92.6,,20,130,3.7,7.2,7.09,1,2,18,PB
2004,34,KAN,QB,10,16,16,7-9-0,369,556,66.4,4591,27,4.9,17,3.1,230,70,8.3,7.9,12.4,286.9,95.2,,32,227,5.4,7.42,7.04,3,3,17,
2005*,35,KAN,QB,10,16,16,10-6-0,317,507,62.5,4014,17,3.4,10,2,182,60,7.9,7.7,12.7,250.9,90.1,,32,204,5.9,7.07,6.86,2,3,15,PB
2006,36,KAN,QB,10,8,8,4-4-0,121,198,61.1,1342,7,3.5,9,4.5,76,39,6.8,5.4,11.1,167.8,74.1,48.7,24,127,10.8,5.47,4.28,1,1,5,
2007,37,MIA,qb,10,5,5,0-5-0,85,141,60.3,987,5,3.5,7,5,50,43,7,5.5,11.6,197.4,72.6,44.7,7,53,4.7,6.31,4.86,,,3,
2008,38,STL,qb,12,3,1,0-1-0,38,72,52.8,525,0,0,6,8.3,19,53,7.3,3.5,13.8,175,41.7,17.1,6,58,7.7,5.99,2.53,,,1,
Career,,,,,120,113,56-57-0,2266,3740,60.6,28475,162,4.3,114,3,1373,99,7.6,7.1,12.6,237.3,86,,259,1621,6.5,6.72,6.24,15,19,110,
6 yrs,,KAN,,,88,88,48-40-0,1720,2777,61.9,21459,118,4.2,85,3.1,1039,99,7.7,7.2,12.5,243.9,87.3,,173,1027,5.9,6.93,6.43,13,16,86,
2 yrs,,STL,,,11,6,2-4-0,183,312,58.7,2588,16,5.1,11,3.5,111,64,8.3,7.7,14.1,235.3,87.9,,30,203,8.8,6.97,6.46,0,1,11,
2 yrs,,WAS,,,16,14,6-8-0,278,510,54.5,3441,23,4.5,11,2.2,173,75,6.7,6.7,12.4,215.1,81.7,,49,338,8.8,5.55,5.49,2,2,10,
1 yr,,MIA,,,5,5,0-5-0,85,141,60.3,987,5,3.5,7,5,50,43,7,5.5,11.6,197.4,72.6,,7,53,4.7,6.31,4.86,,,3,
