Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1989,23,DAL,QB,8,11,11,0-11-0,155,293,52.9,1749,9,3.1,18,6.1,,75,6,3.8,11.3,159,55.7,19,155,6.1,5.11,3.09,,,2,
1990,24,DAL,QB,8,15,15,7-8-0,226,399,56.6,2579,11,2.8,18,4.5,,61,6.5,5,11.4,171.9,66.6,39,288,8.9,5.23,3.88,4,6,8,
1991*,25,DAL,QB,8,12,12,7-5-0,237,363,65.3,2754,11,3,10,2.8,,61,7.6,7,11.6,229.5,86.7,32,224,8.1,6.41,5.82,2,2,11,PB
1992*,26,DAL,QB,8,16,16,13-3-0,302,473,63.8,3445,23,4.9,14,3,,87,7.3,6.9,11.4,215.3,89.5,23,112,4.6,6.72,6.38,1,1,17,PB
1993*,27,DAL,QB,8,14,14,11-3-0,271,392,69.1,3100,15,3.8,6,1.5,,80,7.9,8,11.4,221.4,99,26,153,6.2,7.05,7.12,0,1,16,AP MVP-5 AP OPoY-6 PB
1994*,28,DAL,QB,8,14,14,10-4-0,233,361,64.5,2676,13,3.6,12,3.3,128,90,7.4,6.6,11.5,191.1,84.9,14,59,3.7,6.98,6.23,0,1,12,PB
1995*,29,DAL,QB,8,16,16,12-4-0,280,432,64.8,3304,16,3.7,7,1.6,171,50,7.6,7.7,11.8,206.5,93.6,14,89,3.1,7.21,7.22,2,2,14,PB
1996*,30,DAL,QB,8,15,15,10-5-0,296,465,63.7,3126,12,2.6,13,2.8,153,61,6.7,6,10.6,208.4,80.1,18,120,3.7,6.22,5.51,2,2,9,PB
1997,31,DAL,QB,8,16,16,6-10-0,292,518,56.4,3283,19,3.7,12,2.3,160,64,6.3,6,11.2,205.2,78,33,269,6,5.47,5.18,3,3,8,
1998,32,DAL,QB,8,11,11,7-4-0,187,315,59.4,2330,12,3.8,5,1.6,109,67,7.4,7.4,12.5,211.8,88.5,9,58,2.8,7.01,7.06,,,9,
1999,33,DAL,QB,8,14,14,7-7-0,263,442,59.5,2964,17,3.8,12,2.7,129,90,6.7,6.3,11.3,211.7,81.1,19,130,4.1,6.15,5.71,1,1,10,
2000,34,DAL,QB,8,11,11,4-7-0,156,262,59.5,1632,7,2.7,14,5.3,83,48,6.2,4.4,10.5,148.4,64.3,13,91,4.7,5.6,3.82,0,1,4,
Career,,,,,165,165,94-71-0,2898,4715,61.5,32942,165,3.5,141,3,933,90,7,6.3,11.4,199.6,81.6,259,1748,5.2,6.27,5.66,15,20,120,
