Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2003,22,PIT,db,43,16,0,0,0,0,0,4,1,0,0,0,0,2,48,35,13,2,,,1,
2004*,23,PIT,SS,43,16,16,5,58,1,26,14,1,0,0,0,0,1,97,68,29,4,,,13,AP2 PB
2005*+,24,PIT,SS,43,16,16,2,42,0,36,8,1,0,2,78,1,3,92,74,18,7,,,14,AP DPoY-3 AP1 PB
2006*,25,PIT,SS,43,13,13,3,51,0,49,8,1,0,0,0,0,1,77,57,20,6,2,,9,PB
2007*,26,PIT,SS,43,11,11,0,0,0,0,9,3,0,1,13,0,0,58,45,13,2,0,,10,AP2 PB
2008*+,27,PIT,SS,43,16,16,7,59,0,23,17,,,,,,0,73,54,19,5,0,,17,AP DPoY-5 AP1 PB
2009,28,PIT,ss,43,5,5,3,17,0,16,7,,,,,,0,20,18,2,4,0,,3,
2010*+,29,PIT,SS,43,14,14,7,101,1,45,11,1,0,1,0,0,1,63,49,14,6,2,,16,AP DPoY-1 AP CPoY-7 AP1 PB
2011*+,30,PIT,SS,43,16,16,2,33,0,33,14,0,0,1,16,1,1,91,64,27,7,4,,17,AP1 PB
2012,31,PIT,SS,43,7,7,1,1,0,1,3,,,,,,1,34,29,5,1,1,,4,
2013*,32,PIT,SS,43,16,16,2,36,1,19,11,5,0,1,0,0,2,69,50,19,7,2,,9,PB
2014,33,PIT,SS,43,12,12,0,0,0,0,1,1,0,1,13,0,0,61,40,21,5,1,,4,
Career,,,,,158,142,32,398,3,49,107,14,0,7,120,2,12,783,583,200,56,12,,117,
