Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1987,24,TAM,qb,14,6,4,0-4-0,71,165,43,1081,5,3,6,3.6,,40,6.6,5.5,15.2,180.2,60.2,,18,140,9.8,5.14,4.21,,,4,
1988,25,TAM,QB,14,15,15,5-10-0,222,466,47.6,3240,13,2.8,35,7.5,,59,7,4.1,14.6,216,48.8,,33,292,6.6,5.91,3.27,2,3,6,
1989,26,TAM,QB,14,14,14,5-9-0,258,480,53.8,3133,20,4.2,22,4.6,,78,6.5,5.3,12.1,223.8,68.9,,38,294,7.3,5.48,4.34,2,2,9,
1990,27,TAM,QB,14,14,13,6-7-0,203,365,55.6,2818,17,4.7,18,4.9,,89,7.7,6.4,13.9,201.3,75.6,,38,330,9.4,6.17,5.01,3,3,9,
1991,28,TAM,QB,14,13,12,3-9-0,166,326,50.9,1994,8,2.5,15,4.6,,87,6.1,4.5,12,153.4,59,,35,234,9.7,4.88,3.45,,,4,
1992,29,TAM,QB,14,14,14,5-9-0,206,358,57.5,2554,14,3.9,16,4.5,,81,7.1,5.9,12.4,182.4,74.2,,35,259,8.9,5.84,4.72,1,1,9,
1993,30,CLE,QB,12,10,6,3-3-0,130,230,56.5,1797,14,6.1,9,3.9,,62,7.8,7.3,13.8,179.7,85.7,,17,101,6.9,6.87,6.36,1,1,7,
1994,31,CLE,QB,12,14,13,9-4-0,207,376,55.1,2575,16,4.3,18,4.8,124,81,6.8,5.5,12.4,183.9,70.7,,12,83,3.1,6.42,5.16,0,1,9,
1995,32,CLE,QB,12,13,12,4-8-0,241,392,61.5,2883,17,4.3,10,2.6,144,70,7.4,7.1,12,221.8,87.8,,17,87,4.2,6.84,6.57,0,1,9,
1996*,33,BAL,QB,12,16,16,4-12-0,325,549,59.2,4177,33,6,19,3.5,197,86,7.6,7.3,12.9,261.1,88.7,,34,270,5.8,6.7,6.37,2,3,16,PB
1997,34,BAL,QB,12,13,13,4-8-1,271,470,57.7,2971,18,3.8,15,3.2,134,54,6.3,5.7,11,228.5,75.9,,20,129,4.1,5.8,5.16,1,1,8,
1998*,35,NYJ,QB,16,14,13,12-1-0,259,421,61.5,3256,29,6.9,7,1.7,171,82,7.7,8.4,12.6,232.6,101.6,,19,140,4.3,7.08,7.68,3,3,14,AP OPoY-7 AP CPoY-3 PB
1999,36,NYJ,qb,16,1,1,0-1-0,10,15,66.7,96,1,6.7,1,6.7,6,27,6.4,4.7,9.6,96,78.7,,0,0,0,6.4,4.73,,,0,
2000,37,NYJ,QB,16,16,16,9-7-0,328,590,55.6,3732,21,3.6,25,4.2,178,63,6.3,5.1,11.4,233.3,69,,13,71,2.2,6.07,4.9,4,4,9,AP CPoY-7
2001,38,NYJ,QB,16,16,16,10-6-0,260,441,59,2752,15,3.4,14,3.2,147,40,6.2,5.5,10.6,172,75.3,,18,122,3.9,5.73,5.01,5,5,10,
2002,39,NYJ,qb,16,5,4,1-3-0,54,83,65.1,499,3,3.6,3,3.6,23,35,6,5.1,9.2,99.8,78.3,,9,62,9.8,4.75,3.93,1,0,2,
2003,40,NYJ,qb,16,7,7,2-5-0,123,198,62.1,1385,7,3.5,2,1,65,61,7,7.2,11.3,197.9,90.6,,6,48,2.9,6.55,6.8,1,1,5,
2004,41,DAL,QB,16,16,15,5-10-0,297,495,60,3532,17,3.4,20,4,163,53,7.1,6,11.9,220.8,76.4,,34,182,6.4,6.33,5.27,2,3,9,
2005,42,NYJ,qb,16,6,4,1-3-0,60,106,56.6,777,1,0.9,6,5.7,35,47,7.3,5,13,129.5,59.4,,12,102,10.2,5.72,3.6,,,2,
2006,43,NWE,qb,14,3,0,,2,3,66.7,29,1,33.3,0,0,2,23,9.7,16.3,14.5,9.7,137.5,99.9,0,0,0,9.67,16.33,,,0,
2007,44,CAR,QB,16,7,6,2-4-0,94,172,54.7,952,5,2.9,6,3.5,47,65,5.5,4.5,10.1,136,65.8,31,9,46,5,5.01,4.07,1,1,0,
Career,,,,,233,214,90-123-1,3787,6701,56.5,46233,275,4.1,267,4,1436,89,6.9,5.9,12.2,198.4,75,,417,2992,5.9,6.07,5.16,29,33,141,
7 yrs,,NYJ,,,65,61,35-26-0,1094,1854,59,12497,77,4.2,58,3.1,625,82,6.7,6.2,11.4,192.3,80.2,,77,545,4,6.19,5.64,14,13,42,
6 yrs,,TAM,,,76,72,24-48-0,1126,2160,52.1,14820,77,3.6,112,5.2,0,89,6.9,5.2,13.2,195,64.4,,197,1549,8.4,5.63,4.15,8,9,41,
3 yrs,,CLE,,,37,31,16-15-0,578,998,57.9,7255,47,4.7,37,3.7,268,81,7.3,6.5,12.6,196.1,80.9,,46,271,4.4,6.69,6,1,3,25,
2 yrs,,BAL,,,29,29,8-20-1,596,1019,58.5,7148,51,5,34,3.3,331,86,7,6.5,12,246.5,82.8,,54,399,5,6.29,5.81,3,4,24,
1 yr,,CAR,,,7,6,2-4-0,94,172,54.7,952,5,2.9,6,3.5,47,65,5.5,4.5,10.1,136,65.8,,9,46,5,5.01,4.07,1,1,0,
1 yr,,DAL,,,16,15,5-10-0,297,495,60,3532,17,3.4,20,4,163,53,7.1,6,11.9,220.8,76.4,,34,182,6.4,6.33,5.27,2,3,9,
1 yr,,NWE,,,3,0,,2,3,66.7,29,1,33.3,0,0,2,23,9.7,16.3,14.5,9.7,137.5,,0,0,0,9.67,16.33,,,0,
