Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2011*,22,DEN,LILB,58,15,15,0,0,0,0,4,2,0,0,0,0,11.5,64,50,14,19,29,,12,AP DRoY-1 AP2 PB
2012*+,23,DEN,LILB,58,16,16,1,26,1,26,2,6,0,0,0,0,18.5,68,55,13,28,25,,18,AP DPoY-2 AP1 PB
2013,24,DEN,LLB,58,9,9,0,0,0,0,1,3,0,1,60,1,5,34,27,7,9,10,,5,
2014*,25,DEN,LLB,58,16,16,0,0,0,0,2,1,0,1,2,0,14,60,43,17,16,27,,12,AP2 PB
2015*+,26,DEN,LOLB,58,16,16,0,0,0,0,1,4,0,3,0,0,11,35,30,5,9,32,,17,AP1 PB
2016*+,27,DEN,LOLB,58,16,16,0,0,0,0,3,3,0,0,0,0,13.5,78,62,16,13,24,,16,AP DPoY-2 AP1 PB
2017*,28,DEN,ROLB,58,16,16,0,0,0,0,3,2,0,1,0,0,10,57,51,6,17,23,,12,AP2 PB
2018*,29,DEN,ROLB,58,16,16,1,42,0,42,3,4,0,3,3,0,14.5,48,29,19,14,26,,13,AP2 PB
2019*,30,DEN,ROLB,58,15,15,0,0,0,0,2,,,,,,8,46,33,13,10,20,,11,PB
2020,,Missed season - Injured (ankle),,,,,,,,,,,,,,,,,,,,,,,
2021,32,2TM,,,15,15,0,0,0,0,1,1,0,0,0,0,9.5,50,33,17,19,17,,8,
,,DEN,LOLB,58,7,7,,,,,,,,,,,4.5,19,10,9,7,9,,4,
,,LAR,RDE,40,8,8,0,0,0,0,1,1,0,0,0,0,5,31,23,8,12,8,,4,
2022,33,BUF,LB,40,6,6,0,0,0,0,2,,,,,,6,12,12,0,8,8,,,
Career,,,,,156,156,2,68,1,42,24,26,0,9,65,1,121.5,552,425,127,162,241,,124,
10 yrs,,DEN,,,142,142,2,68,1,42,21,25,0,9,65,1,110.5,490,380,119,142,225,,120,
1 yr,,BUF,,,6,6,0,0,0,0,2,,,,,,6,12,12,0,8,8,,,
1 yr,,LAR,,,8,8,0,0,0,0,1,1,0,0,0,0,5,,,8,12,8,,4,
