Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1997,23,SEA,LT,71,12,12,,,,,,,,,,,0,,,,,,,6,
1998,24,SEA,LT,71,16,16,,,,,,,,,,,0,,,,,,,8,
1999*,25,SEA,LT,71,16,16,,,,,,0,0,1,0,0,0,,,,,,,10,PB
2000,26,SEA,LT,71,16,16,,,,,,,,,,,0,,,,,,,8,
2001*+,27,SEA,LT,71,16,16,,,,,,,,,,,0,,,,,,,14,AP1 PB
2002*,28,SEA,LT,71,14,14,,,,,,,,,,,0,,,,,,,10,PB
2003*,29,SEA,LT,71,16,16,,,,,,,,,,,0,,,,,,,10,PB
2004*+,30,SEA,LT,71,16,16,,,,,,,,,,,0,,,,,,,14,AP1 PB
2005*+,31,SEA,LT,71,15,15,,,,,,0,0,1,0,0,0,,,,,,,14,AP1 PB
2006*,32,SEA,LT,71,16,16,,,,,,,,,,,0,,,,,,,11,AP2 PB
2007*+,33,SEA,LT,71,15,15,,,,,,,,,,,0,,,,,,,14,AP1 PB
2008*,34,SEA,LT,71,12,12,,,,,,0,0,1,0,0,0,,,,,,,8,AP2 PB
Career,,,,,180,180,,,,,,0,0,3,0,0,0,,,,,,,127,
