Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1975,21,CHI,RB,34,13,7,196,679,7,54,3.5,52.2,15.1,33,213,6.5,0,40,2.5,16.4,229,3.9,892,7,9,6,
1976*+,22,CHI,RB,34,14,14,311,1390,13,60,4.5,99.3,22.2,15,149,9.9,0,34,1.1,10.6,326,4.7,1539,13,10,14,AP1 PB
1977*+,23,CHI,RB,34,14,14,339,1852,14,73,5.5,132.3,24.2,27,269,10,2,75,1.9,19.2,366,5.8,2121,16,11,20,AP MVP-1 AP OPoY-1 AP1 PB
1978*,24,CHI,RB,34,16,16,333,1395,11,76,4.2,87.2,20.8,50,480,9.6,0,61,3.1,30,383,4.9,1875,11,5,15,AP2 PB
1979*,25,CHI,RB,34,16,16,369,1610,14,43,4.4,100.6,23.1,31,313,10.1,2,65,1.9,19.6,400,4.8,1923,16,7,15,AP2 PB
1980*+,26,CHI,RB,34,16,16,317,1460,6,69,4.6,91.3,19.8,46,367,8,1,54,2.9,22.9,363,5,1827,7,5,15,AP1 PB
1981,27,CHI,RB,34,16,16,339,1222,6,39,3.6,76.4,21.2,41,379,9.2,2,30,2.6,23.7,380,4.2,1601,8,9,8,
1982,28,CHI,RB,34,9,9,148,596,1,26,4,66.2,16.4,32,311,9.7,0,40,3.6,34.6,180,5,907,1,3,10,
1983*,29,CHI,RB,34,16,16,314,1421,6,49,4.5,88.8,19.6,53,607,11.5,2,74,3.3,37.9,367,5.5,2028,8,5,13,PB
1984*+,30,CHI,RB,34,16,16,381,1684,11,72,4.4,105.3,23.8,45,368,8.2,0,31,2.8,23,426,4.8,2052,11,5,16,AP MVP-3 AP1 PB
1985*+,31,CHI,RB,34,16,16,324,1551,9,40,4.8,96.9,20.3,49,483,9.9,2,65,3.1,30.2,373,5.5,2034,11,6,18,AP MVP-2 AP OPoY-2 AP1 PB
1986*,32,CHI,RB,34,16,16,321,1333,8,41,4.2,83.3,20.1,37,382,10.3,3,57,2.3,23.9,358,4.8,1715,11,6,11,AP MVP-6 AP2 PB
1987,33,CHI,RB,34,12,12,146,533,4,17,3.7,44.4,12.2,33,217,6.6,1,16,2.8,18.1,179,4.2,750,5,5,6,
Career,,,,,190,184,3838,16726,110,76,4.4,88,20.2,492,4538,9.2,15,75,2.6,23.9,4330,4.9,21264,125,86,167,
