Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1984,28,HOU,QB,1,16,16,3-13-0,259,450,57.6,3338,12,2.7,14,3.1,,76,7.4,6.6,12.9,208.6,76.9,47,371,9.5,5.97,5.19,1,2,10,
1985,29,HOU,QB,1,14,14,4-10-0,200,377,53.1,2709,15,4,19,5,,80,7.2,5.7,13.5,193.5,68.5,46,366,10.9,5.54,4.23,2,3,8,
1986,30,HOU,QB,1,15,15,5-10-0,256,488,52.5,3489,13,2.7,26,5.3,,81,7.1,5.3,13.6,232.6,62.3,41,332,7.8,5.97,4.25,,,9,
1987,31,HOU,QB,1,12,12,7-5-0,184,368,50,2806,21,5.7,18,4.9,,83,7.6,6.6,15.3,233.8,74.2,25,198,6.4,6.64,5.64,3,3,10,
1988*,32,HOU,QB,1,11,11,7-4-0,160,294,54.4,2327,17,5.8,8,2.7,,57,7.9,7.8,14.5,211.5,88.4,12,120,3.9,7.21,7.15,1,1,11,AP MVP-5 PB
1989*,33,HOU,QB,1,16,16,9-7-0,280,464,60.3,3631,23,5,14,3,,55,7.8,7.5,13,226.9,88.9,35,267,7,6.74,6.4,2,3,13,PB
1990*,34,HOU,QB,1,15,15,8-7-0,362,584,62,4689,33,5.7,13,2.2,,87,8,8.2,13,312.6,96.8,36,252,5.8,7.16,7.28,1,1,18,AP MVP-3 AP OPoY-1 AP2 PB
1991*,35,HOU,QB,1,16,16,11-5-0,404,655,61.7,4690,23,3.5,21,3.2,,61,7.2,6.4,11.6,293.1,81.7,23,174,3.4,6.66,5.95,4,5,15,PB
1992*,36,HOU,QB,1,11,10,6-4-0,224,346,64.7,2521,18,5.2,12,3.5,,72,7.3,6.8,11.3,229.2,89.3,16,105,4.4,6.67,6.18,2,2,11,PB
1993*,37,HOU,QB,1,15,14,10-4-0,303,520,58.3,3485,21,4,21,4,,80,6.7,5.7,11.5,232.3,75.2,34,218,6.1,5.9,4.95,1,1,12,AP MVP-6 PB
1994*,38,MIN,QB,1,15,15,9-6-0,371,601,61.7,4264,18,3,19,3.2,199,65,7.1,6.3,11.5,284.3,79.9,29,235,4.6,6.4,5.61,4,5,11,PB
1995*,39,MIN,QB,1,16,16,8-8-0,377,606,62.2,4228,33,5.4,14,2.3,208,85,7,7,11.2,264.3,91.5,38,277,5.9,6.14,6.18,0,3,13,PB
1996,40,MIN,QB,1,8,8,4-4-0,134,247,54.3,1610,7,2.8,9,3.6,74,54,6.5,5.4,12,201.3,68.7,19,122,7.1,5.59,4.6,1,2,4,
1997*,41,SEA,QB,1,15,14,7-7-0,313,528,59.3,3678,25,4.7,16,3,178,60,7,6.5,11.8,245.2,83.7,30,192,5.4,6.25,5.85,3,4,12,PB
1998,42,SEA,QB,1,10,10,4-6-0,145,258,56.2,1632,11,4.3,8,3.1,79,45,6.3,5.8,11.3,163.2,76.6,22,140,7.9,5.33,4.83,,,5,
1999,43,KAN,QB,1,1,0,,1,3,33.3,20,0,0,0,0,1,20,6.7,6.7,20,20,57.6,0,0,0,6.67,6.67,,,0,
2000,44,KAN,QB,1,2,1,0-1-0,15,34,44.1,208,1,2.9,1,2.9,9,41,6.1,5.4,13.9,104,61.9,5,46,12.8,4.15,3.51,,,1,
Career,,,,,208,203,102-101-0,3988,6823,58.4,49325,291,4.3,233,3.4,748,87,7.2,6.5,12.4,237.1,80.9,458,3415,6.3,6.31,5.66,25,35,163,
10 yrs,,HOU,,,141,139,70-69-0,2632,4546,57.9,33685,196,4.3,166,3.7,0,87,7.4,6.6,12.8,238.9,80.4,315,2403,6.5,6.44,5.7,17,21,117,
3 yrs,,MIN,,,39,39,21-18-0,882,1454,60.7,10102,58,4,42,2.9,481,85,6.9,6.4,11.5,259,82.8,86,634,5.6,6.15,5.67,5,10,28,
2 yrs,,KAN,,,3,1,0-1-0,16,37,43.2,228,1,2.7,1,2.7,10,41,6.2,5.5,14.3,76,61.5,5,46,11.9,4.33,3.74,,,1,
2 yrs,,SEA,,,25,24,11-13-0,458,786,58.3,5310,36,4.6,24,3.1,257,60,6.8,6.3,11.6,212.4,81.3,52,332,6.2,5.94,5.51,3,4,17,
