Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1995,23,TAM,RDT,99,16,8,1,5,1,5,,1,0,0,0,0,3,27,17,10,,,,5,
1996,24,TAM,RDT,99,15,14,,,,,,1,0,1,0,0,9,51,41,10,,,,8,
1997*,25,TAM,RDT,99,15,15,,,,,,3,0,1,23,0,10.5,58,47,11,,,,15,AP2 PB
1998*,26,TAM,RDT,99,16,16,,,,,,2,0,1,0,0,7,45,28,17,,,,13,AP2 PB
1999*+,27,TAM,RDT,99,15,15,0,0,0,0,4,4,0,2,0,0,12.5,41,27,14,13,,,18,AP DPoY-1 AP1 PB
2000*+,28,TAM,RDT,99,16,15,0,0,0,0,4,1,0,1,0,0,16.5,52,43,9,20,,,17,AP DPoY-3 AP1 PB
2001*+,29,TAM,RDT,99,16,16,,,,,,1,0,2,0,0,6,36,28,8,9,,,15,AP1 PB
2002*+,30,TAM,RDT,99,16,16,2,0,0,0,4,0,0,1,0,0,7.5,52,43,9,14,,,21,AP1 PB
2003*,31,TAM,RDT,99,15,15,0,0,0,0,3,2,0,0,0,0,5,44,37,7,8,,,12,PB
2004,32,OAK,RDT,99,16,16,,,,,,0,0,2,0,0,2.5,42,31,11,6,,,6,
2005,33,OAK,RDT,99,10,10,1,3,0,3,3,1,0,0,0,0,5,32,29,3,3,,,5,
2006,34,OAK,LDT,99,16,16,0,0,0,0,2,1,0,0,0,0,10,47,32,15,13,17,,7,
2007,35,OAK,LDT,99,16,16,0,0,0,0,1,2,0,1,0,0,2,51,37,14,5,5,,7,
Career,,,,,198,188,4,8,1,5,21,19,0,12,23,0,96.5,578,440,138,91,22,,149,
9 yrs,,TAM,,,140,130,3,5,1,5,15,15,0,9,23,0,77,406,311,95,64,,,124,
4 yrs,,OAK,,,58,58,1,3,0,3,6,4,0,3,0,0,19.5,172,129,43,27,22,,25,
