Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1997*,22,TAM,RB,28,16,10,224,978,4,37,76,4.4,61.1,14,56,39,462,11.8,3,19,59,2.4,28.9,69.60%,8.3,263,5.5,1440,7,4,15,AP ORoY-1 PB
1998,23,TAM,RB,28,16,14,245,1026,2,45,50,4.2,64.1,15.3,57,44,344,7.8,0,22,31,2.8,21.5,77.20%,6,289,4.7,1370,2,1,11,
1999,24,TAM,RB,28,15,15,195,616,0,31,33,3.2,41.1,13,82,64,589,9.2,2,29,68,4.3,39.3,78.00%,7.2,259,4.7,1205,2,3,10,
2000*,25,TAM,RB,28,16,14,248,1133,8,43,70,4.6,70.8,15.5,69,44,422,9.6,1,21,45,2.8,26.4,63.80%,6.1,292,5.3,1555,9,1,15,PB
2001,26,TAM,RB,28,13,12,158,447,3,19,21,2.8,34.4,12.2,97,68,557,8.2,3,31,31,5.2,42.8,70.10%,5.7,226,4.4,1004,6,2,9,
2002,27,ATL,RB,28,15,14,230,927,7,39,59,4,61.8,15.3,66,50,377,7.5,2,16,31,3.3,25.1,75.80%,5.7,280,4.7,1304,9,4,11,
2003,28,ATL,rb,28,11,6,125,672,3,28,69,5.4,61.1,11.4,52,37,336,9.1,2,14,86,3.4,30.5,71.20%,6.5,162,6.2,1008,5,2,8,
2004,29,ATL,RB,28,16,16,265,1106,9,47,60,4.2,69.1,16.6,39,29,294,10.1,0,9,59,1.8,18.4,74.40%,7.5,294,4.8,1400,9,3,11,
2005*,30,ATL,RB,28,16,16,280,1416,3,67,65,5.1,88.5,17.5,37,29,220,7.6,1,8,24,1.8,13.8,78.40%,5.9,309,5.3,1636,4,3,14,PB
2006,31,ATL,RB,28,16,16,286,1140,4,48,90,4,71.3,17.9,28,22,170,7.7,1,10,18,1.4,10.6,78.60%,6.1,308,4.3,1310,5,1,9,
2007,32,ATL,RB,28,16,15,227,720,4,36,38,3.2,45,14.2,59,37,238,6.4,0,5,35,2.3,14.9,62.70%,4,264,3.6,958,4,2,4,
2008,33,TAM,rb,28,15,6,186,786,2,31,40,4.2,52.4,12.4,68,47,330,7,0,11,36,3.1,22,69.10%,4.9,233,4.8,1116,2,0,7,
Career,,,,,181,154,2669,10967,49,471,90,4.1,60.6,14.7,710,510,4339,8.5,15,195,86,2.8,24,71.80%,6.1,3179,4.8,15306,64,26,124,
6 yrs,,ATL,,,90,83,1413,5981,30,265,90,4.2,66.5,15.7,281,204,1635,8,6,62,86,2.3,18.2,72.60%,5.8,1617,4.7,7616,36,15,57,
6 yrs,,TAM,,,91,71,1256,4986,19,206,76,4,54.8,13.8,429,306,2704,8.8,9,133,68,3.4,29.7,71.30%,6.3,1562,4.9,7690,28,11,67,
