Year,Age,Tm,Pos,No.,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P,AV,Awards
1958,22,DET,lb,55,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,23,DET,rlb,55,9,4,,,,,,,,,,,,,,,6,5,83.30%,,,,,,,,,,,,
1960,24,DET,RLB,55,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
1961,25,DET,RLB,55,14,14,,,1,,,,2,,,,3,,,0.00%,6,6,100.00%,,,,,,,,,,,8,
1962,26,DET,RLB,55,14,13,3,2,5,1,6,3,7,3,1,,22,9,44,40.90%,37,37,100.00%,,,,,,,,,,,10,
1963*,27,DET,RLB,55,14,14,1,1,4,3,6,3,8,2,3,,22,9,46,40.90%,29,29,100.00%,,,,,,,,,,,12,PB
1964*,28,DET,RLB,55,14,14,1,1,6,5,5,3,10,5,3,,25,14,48,56.00%,34,32,94.10%,,,,,,,,,,,15,AP2 PB
1965*+,29,DET,RLB,55,14,14,3,3,3,,8,4,5,1,3,,22,8,45,36.40%,33,33,100.00%,,,,,,,,,,,14,AP1 PB
1966,30,DET,RLB,55,13,7,1,1,1,,1,,5,1,,,8,2,42,25.00%,11,11,100.00%,,,,,,,,,,,7,AP2
1967,31,DET,RLB,55,14,11,2,2,1,1,4,1,7,1,1,,15,5,47,33.30%,11,11,100.00%,,,,,,,,,,,8,
1968,32,DET,RLB,55,14,14,1,1,2,1,5,2,4,2,2,,14,6,43,42.90%,6,6,100.00%,,,,,,,,,,,9,
1969,33,DET,RLB,55,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
1970,34,DET,RLB,55,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
1971,35,DET,RLB,55,14,14,,,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,7,
1972,36,DET,RLB,55,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Career,,,,,200,173,12,11,23,11,35,16,48,15,13,,131,53,48,40.50%,175,172,98.30%,,,,,,,,,,,124,
