Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2004,23,2TM,,,15,0,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,4,1,
,,MIA,wr,83,14,0,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,4,1,
,,SDG,wr,83,1,0,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,0,0,
2005,24,MIA,wr,83,16,1,52,29,434,15,0,19,47,1.8,27.1,55.80%,8.3,1,5,0,0,5,5,0.3,0.1,30,14.6,439,0,5,4,
2006,25,MIA,wr,83,16,2,100,67,687,10.3,1,33,38,4.2,42.9,67.00%,6.9,,,,,,,,,67,10.3,687,1,3,5,
2007,26,NWE,WR,83,16,13,145,112,1175,10.5,8,65,42,7,73.4,77.20%,8.1,4,34,0,1,27,8.5,2.1,0.3,116,10.4,1209,8,3,16,AP OPoY-3 AP2
2008*,27,NWE,WR,83,16,14,149,111,1165,10.5,3,57,64,6.9,72.8,74.50%,7.8,3,26,0,1,19,8.7,1.6,0.2,114,10.4,1191,3,1,13,AP2 PB
2009*+,28,NWE,WR,83,14,13,162,123,1348,11,4,71,58,8.8,96.3,75.90%,8.3,5,36,0,3,11,7.2,2.6,0.4,128,10.8,1384,4,2,14,AP1 PB
2010*,29,NWE,WR,83,15,11,123,86,848,9.9,7,47,35,5.7,56.5,69.90%,6.9,,,,,,,,,86,9.9,848,7,1,11,AP CPoY-4 PB
2011*+,30,NWE,WR,83,16,15,173,122,1569,12.9,9,77,99,7.6,98.1,70.50%,9.1,4,30,0,2,19,7.5,1.9,0.3,126,12.7,1599,9,1,17,AP1 PB
2012*,31,NWE,WR,83,16,12,174,118,1354,11.5,6,71,59,7.4,84.6,67.80%,7.8,2,20,0,2,11,10,1.3,0.1,120,11.5,1374,6,3,15,PB
2013,32,DEN,WR,83,13,13,111,73,778,10.7,10,49,33,5.6,59.8,65.80%,7,,,,,,,,,73,10.7,778,10,1,7,
2014,33,DEN,wr,83,14,8,64,49,464,9.5,2,24,39,3.5,33.1,76.60%,7.3,,,,,,,,,49,9.5,464,2,0,5,
2015,34,STL,wr,19,8,0,22,13,102,7.8,0,5,14,1.6,12.8,59.10%,4.6,,,,,,,,,13,7.8,102,0,0,1,
Career,,,,,175,102,1275,903,9924,11,50,518,99,5.2,56.7,70.80%,7.8,19,151,0,9,27,7.9,0.9,0.1,922,10.9,10075,50,24,109,
6 yrs,,NWE,,,93,78,926,672,7459,11.1,37,388,99,7.2,80.2,72.60%,8.1,18,146,0,9,27,8.1,1.6,0.2,690,11,7605,37,11,86,
3 yrs,,MIA,,,46,3,152,96,1121,11.7,1,52,47,2.1,24.4,63.20%,7.4,1,5,0,0,5,5,0.1,0,97,11.6,1126,1,12,10,
2 yrs,,DEN,,,27,21,175,122,1242,10.2,12,73,39,4.5,46,69.70%,7.1,,,,,,,,,122,10.2,1242,12,1,12,
1 yr,,SDG,,,1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,0,,0,0,0,0,
1 yr,,STL,,,8,0,22,13,102,7.8,0,5,14,1.6,12.8,59.10%,4.6,,,,,,,,,13,7.8,102,0,0,1,
