Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1984,22,CHI,lb,58,15,1,,,,,,,,,,,0,19,,,,2,
1985,23,CHI,RLB,58,16,15,4,23,0,14,,2,0,1,8,0,6,78,,,,9,
1986*+,24,CHI,RLB,58,16,15,5,68,1,58,,4,0,3,12,1,5.5,105,,,,23,AP DPoY-3 AP1 PB
1987*,25,CHI,RLB,58,12,12,,,,,,2,0,1,0,0,5,93,,,,8,PB
1988,26,WAS,RLB,58,16,16,3,61,0,43,,3,0,0,0,0,4,133,,,,7,
1989,27,WAS,RLB,58,16,16,1,18,0,18,,1,0,2,6,0,4,108,,,,9,
1990,28,WAS,RLB,58,16,15,1,6,0,6,,2,0,1,4,0,5,107,,,,9,
1991,29,WAS,LLB,58,16,16,5,75,1,54,,4,0,1,0,0,5.5,135,,,,17,AP DPoY-6 AP2
1992*+,30,WAS,LLB,58,16,16,2,20,1,20,,3,0,3,35,0,6,138,,,,19,AP DPoY-3 AP1 PB
1993,31,HOU,RLB,58,10,10,,,,,,0,0,1,0,0,2,37,,,,5,
1994,32,ARI,RLB,55,15,15,0,13,0,13,,2,0,1,0,0,1,58,42,16,,8,
1995,33,NYJ,rlb,58,15,6,2,20,0,20,,1,0,2,11,0,1,32,25,7,,5,
Career,,,,,179,153,23,304,3,58,,24,0,16,76,1,45,1043,67,23,,121,
5 yrs,,WAS,,,80,79,12,180,2,54,,13,0,7,45,0,24.5,621,,0,,61,
4 yrs,,CHI,,,59,43,9,91,1,58,,8,0,5,20,1,16.5,295,,0,,42,
1 yr,,ARI,,,15,15,0,13,0,13,,2,0,1,0,0,1,58,42,16,,8,
1 yr,,HOU,,,10,10,,,,,,0,0,1,0,0,2,37,,0,,5,
1 yr,,NYJ,,,15,6,2,20,0,20,,1,0,2,11,0,1,32,25,7,,5,
