Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1993,22,KAN,RG,68,16,15,,,,,,0,0,2,0,0,0,,,,,,,8,
1994,23,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,8,
1995*,24,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,9,PB
1996*,25,KAN,RG,68,16,16,,,,,,,,,,,0,,,,,,,9,PB
1997*,26,KAN,RG,68,16,16,,,,,,,,,,,0,,,,,,,12,AP2 PB
1998*,27,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,11,PB
1999*,28,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,9,PB
2000*,29,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,12,PB
2001*,30,KAN,RG,68,16,16,,,,,,,,,,,0,,,,,,,9,PB
2002*+,31,KAN,RG,68,16,16,,,,,,,,,,,0,,,,,,,17,AP1 PB
2003*+,32,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,1,1,0,0,,,15,AP1 PB
2004*,33,KAN,RG,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,14,AP2 PB
2005*,34,KAN,RG,68,16,16,,,,,,,,,,,0,,,,,,,13,AP2 PB
2006*,35,KAN,RG,68,16,16,,,,,,,,,,,0,,,,,,,11,AP2 PB
Career,,,,,224,223,,,,,,0,0,9,0,0,0,1,1,0,0,,,157,
