Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1996,21,CIN,LT,71,16,10,,,,,,,,,,,0,,,,,,,6,
1997,22,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,10,
1998,23,CIN,RT,71,16,16,,,,,,0,0,1,0,0,0,,,,,,,7,
1999,24,CIN,RT,71,14,14,,,,,,0,0,1,0,0,0,,,,,,,6,
2000,25,CIN,RT,71,16,16,,,,,,0,0,1,0,0,0,,,,,,,5,
2001,26,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,5,
2002,27,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,7,
2003*,28,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,14,AP2 PB
2004*+,29,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,14,AP1 PB
2005*+,30,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,19,AP1 PB
2006*+,31,CIN,RT,71,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
2007,32,CIN,rt,71,7,5,,,,,,,,,,,0,,,,,,,3,
2008,33,BAL,RT,79,14,11,,,,,,0,0,1,0,0,0,,,,,,,5,AP CPoY-8
Career,,,,,195,184,,,,,,0,0,4,0,0,0,,,,,,,117,
12 yrs,,CIN,,,181,173,,,,,,0,0,3,0,0,0,,,,,,,112,
1 yr,,BAL,,,14,11,,,,,,0,0,1,0,0,0,,,,,,,5,
