Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1958,24,CLE,lde,77,12,6,,,,,,,,,,,,,,
1959,25,CLE,dt,77,12,2,,,,,,,,,,,,,,
1960,26,GNB,LDE/rde,87,12,12,,,,,,,0,1,0,0,6,,7,
1961,27,GNB,LDE,87,14,14,,,,,,,0,3,0,0,9.5,,8,
1962+,28,GNB,LDE,87,14,14,,,,,,,0,3,0,1,13,,20,AP1
1963*,29,GNB,LDE,87,14,14,,,,,,,0,4,10,0,8.5,1,13,PB
1964*+,30,GNB,LDE,87,14,14,,,,,,,0,2,0,0,14.5,,14,AP1 PB
1965*+,31,GNB,LDE,87,14,14,1,21,0,21,,,0,2,0,0,11,,16,AP1 PB
1966*+,32,GNB,LDE,87,14,14,,,,,,,0,2,0,0,11,,16,AP MVP-5 AP1 PB
1967*+,33,GNB,LDE,87,14,14,,,,,,,,,,,11,1,15,AP1 PB
1968,34,GNB,LDE,87,14,14,,,,,,,0,3,9,0,9,,8,
1969,35,GNB,LDE,87,14,12,1,0,0,0,,,0,2,0,0,6,,8,
Career,,,,,162,144,2,21,0,21,,,0,22,19,1,99.5,2,125,
10 yrs,,GNB,,,138,136,2,21,0,21,,,0,22,19,1,99.5,2,125,
2 yrs,,CLE,,,24,8,,,,,,,,,,,0,,,
