Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1993,23,NOR,RT,77,16,16,,,,,,,,,,,0,,,,,,,8,
1994*+,24,NOR,LT,77,16,16,,,,,,0,0,1,0,0,0,,,,,,,15,AP1 PB
1995*+,25,NOR,LT,77,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
1996*,26,NOR,LT,77,13,13,,,,,,0,0,1,0,0,0,,,,,,,8,AP2 PB
1997*,27,NOR,LT,77,16,16,,,,,,,,,,,0,,,,,,,8,AP2 PB
1998*,28,NOR,LT,77,15,15,,,,,,,,,,,0,,,,,,,8,PB
1999*,29,NOR,LT,77,16,16,,,,,,0,0,1,0,0,0,,,,,,,9,PB
2000*,30,NOR,LT,77,16,16,,,,,,,,,,,0,,,,,,,14,AP2 PB
2001,31,NOR,LT,77,7,7,,,,,,,,,,,0,,,,,,,4,
2002*,32,KAN,LT,77,16,16,,,,,,,,,,,0,,,,,,,15,AP2 PB
2003*+,33,KAN,LT,77,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
2004*+,34,KAN,LT,77,16,16,,,,,,0,0,1,0,0,0,,,,,,,17,AP1 PB
2005*,35,KAN,LT,77,10,10,,,,,,,,,,,0,,,,,,,8,AP2 PB
Career,,,,,189,189,,,,,,0,0,4,0,0,0,,,,,,,145,
9 yrs,,NOR,,,131,131,,,,,,0,0,3,0,0,0,,,,,,,90,
4 yrs,,KAN,,,58,58,,,,,,0,0,1,0,0,0,,,,,,,55,
