Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1960,24,GNB,db,24,12,0,,,,,,,2,0,0,0,0,,0,
1961,25,GNB,FS,24,14,12,5,52,0,21,,,1,5,0,0,0,,9,
1962*,26,GNB,FS,24,14,14,9,132,0,37,,,,,,,0,,15,AP2 PB
1963,27,GNB,FS,24,14,14,5,67,0,22,,,0,4,0,0,0,,9,
1964*+,28,GNB,FS,24,14,14,3,73,1,42,,,1,2,0,0,0,,12,AP1 PB
1965*+,29,GNB,SS,24,14,12,6,65,0,28,,,0,2,0,0,0,,12,AP1 PB
1966*+,30,GNB,SS,24,14,14,3,38,1,20,,,,,,,0,,12,AP1 PB
1967*+,31,GNB,FS,24,14,14,4,60,0,25,,,,,,,0,,11,AP1 PB
1968*,32,GNB,FS,24,14,14,2,54,0,35,,,1,0,0,0,0,,12,AP2 PB
1969*,33,GNB,FS,24,14,14,3,40,0,21,,,0,1,0,0,0,,14,PB
1970*,34,GNB,FS,24,14,14,7,110,0,24,,,1,1,0,0,1,,9,PB
1971,35,GNB,FS,24,14,14,1,8,0,8,,,0,1,3,0,0,,7,
Career,,,,,166,150,48,699,2,42,,,6,16,39,0,1,,122,
