Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1996,23,MIA,MLB,54,16,16,3,64,1,27,,2,0,2,7,0,2,154,120,34,,,,10,AP DRoY-2
1997,24,MIA,MLB,54,15,15,1,10,0,10,,2,0,0,0,0,0.5,128,78,50,,,,7,
1998+,25,MIA,MLB,54,16,16,3,21,2,17,,2,0,0,0,0,2,137,86,51,,,,19,AP DPoY-3 AP1
1999*+,26,MIA,MLB,54,16,16,1,0,0,0,9,1,0,0,0,0,1,134,85,49,13,,,15,AP1 PB
2000*,27,MIA,MLB,54,11,11,1,0,0,0,1,0,0,1,0,0,1.5,99,56,43,8,,,9,PB
2001*,28,MIA,MLB,54,15,15,2,51,1,34,4,2,0,0,0,0,3,155,95,60,4,,,13,AP2 PB
2002*+,29,MIA,MLB,54,16,16,1,7,0,7,4,0,0,1,22,0,0.5,156,100,56,4,,,13,AP1 PB
2003*+,30,MIA,MLB,54,15,15,3,21,0,19,10,1,0,2,0,0,1,153,85,68,10,,,17,AP1 PB
2004,31,MIA,MLB,54,13,13,0,0,0,0,4,,,,,,2,145,85,60,9,,,8,
2005*,32,MIA,MLB,54,14,14,1,0,0,0,3,4,0,1,0,0,2,162,107,55,13,,,12,AP2 PB
2006*+,33,MIA,MLB,54,16,16,1,-4,0,-4,8,2,0,0,0,0,3,165,103,62,7,3,,16,AP1 PB
2007,34,MIA,MLB,54,5,5,0,0,0,0,2,,,,,,1,52,42,10,2,1,,2,
2008,35,DAL,RILB,55,16,14,0,0,0,0,3,0,0,1,0,0,1,94,65,29,4,1,,7,
Career,,,,,184,182,17,170,4,34,48,16,0,8,29,0,20.5,1734,1107,627,74,5,,148,
12 yrs,,MIA,,,168,168,17,170,4,34,45,16,0,7,29,0,19.5,1640,1042,598,70,4,,141,
1 yr,,DAL,,,16,14,0,0,0,0,3,0,0,1,0,0,1,94,65,29,4,1,,7,
